TF_name	TFID	model_size	q99p99	q99p9	q99	max_aff
HNF4A	12951	17	0.0234709320100202	0.00455981030000001	0.00059630215	0.405521
SP1	11636	16	0.0692130293000184	0.0142541116000006	0.0010722015	0.514828
Sox9	16211	14	0.0667913035100022	0.0071188320700001	0.000377666620000001	0.691579
HNF1A	11458	17	0.00127607001700001	6.71205113000005e-05	2.12668530000001e-06	0.69174
NRF1	11868	12	0.0952192624900393	0.0261818554000026	0.0050331719	1.00041
Foxa2	17084	14	0.22443104770003	0.073156520800001	0.0100555	0.677936
Foxo4	16081	12	0.233037	0.0389008242000011	0.0030756012	0.899339
Gata4	16735	12	0.334718074900047	0.110074145000007	0.00822042150000002	0.977552
Gata6	17095	12	0.710883	0.363044152000007	0.0934761400000001	0.983191
Hnf1b	12948	14	0.0146658184700116	0.00224017074000004	0.00017477706	0.223852
Klf4	17150	12	0.271613133900084	0.0988309395000019	0.018014015	1
Sox17	10629	12	0.195386087400055	0.0499208138000007	0.0056976913	1
Sox21	11540	16	0.0745748080700051	0.0150214268000013	0.0015171611	0.3979
Sox7	18261	14	0.159199024000015	0.0450512018000001	0.006284312	0.617466
Jun_Atf3	15946	12	0.432145121700077	0.192183054000003	0.043921011	0.838076
Foxo3	16079	12	0.135289116600073	0.0251049042000002	0.0030698306	0.599582
Foxj2	16729	16	0.0118460012500008	0.00128184373000018	8.74508180000002e-05	0.147827
