early_ectoderm_NA18511	early_ectoderm_NA18856	early_ectoderm_NA18858	early_ectoderm_NA18912	early_ectoderm_NA19140	early_ectoderm_NA19159	early_ectoderm_NA19160	early_ectoderm_NA19210
OR4F5	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0
SAMD11	625	63	284	116	30	35	603	17
NOC2L	4809	109	1648	353	200	500	3818	143
KLHL17	373	10	150	18	10	30	358	17
PLEKHN1	12	1	26	0	0	3	23	0
PERM1	0	0	0	0	0	0	0	0
HES4	34233	934	3491	2128	2939	6061	17793	1509
ISG15	3624	148	1509	907	213	469	3275	206
AGRN	2495	39	778	133	97	282	1687	60
RNF223	2	0	1	0	0	0	9	0
C1orf159	638	72	149	252	188	374	424	75
TTLL10	154	12	7	22	19	22	166	8
TNFRSF18	11	1	8	7	3	40	77	3
TNFRSF4	5	0	3	0	0	0	16	0
SDF4	4279	123	1402	512	361	665	3830	196
B3GALT6	3125	65	953	221	133	318	2549	86
C1QTNF12	125	14	134	83	20	21	339	6
UBE2J2	5522	129	1702	577	415	780	4279	226
SCNN1D	101	4	31	11	4	13	66	4
ACAP3	1048	20	314	81	68	162	839	44
PUSL1	2023	44	677	200	107	254	1790	69
INTS11	4485	125	1490	367	293	594	3505	173
CPTP	906	21	295	67	49	134	714	36
TAS1R3	11	1	2	0	3	1	4	0
DVL1	1512	17	424	90	48	115	1172	42
MXRA8	1221	51	1495	202	114	123	2391	50
AURKAIP1	20678	524	8127	1911	1086	2183	15461	723
CCNL2	3968	117	1325	423	304	744	3252	201
MRPL20	19980	383	6410	1861	1072	2238	15000	655
ANKRD65	157	6	58	17	15	32	186	7
TMEM88B	2	0	0	0	1	3	3	0
VWA1	1152	20	501	84	53	119	1045	27
ATAD3C	16	1	15	5	4	6	28	1
ATAD3B	1623	18	467	95	57	109	1099	49
ATAD3A	2690	45	894	193	66	230	2178	82
TMEM240	843	36	222	117	76	238	901	49
SSU72	19053	451	6206	1697	1049	2042	14081	635
FNDC10	1670	25	502	97	80	100	1530	24
MIB2	1720	41	735	157	95	231	1727	48
MMP23B	187	13	252	33	18	24	758	14
CDK11B	2906	83	916	310	224	524	2303	143
SLC35E2B	1096	56	345	146	105	202	863	61
CDK11A	2101	66	618	231	188	358	1724	89
SLC35E2A	472	37	194	141	105	210	497	44
NADK	598	35	189	118	79	181	518	55
GNB1	12449	557	4514	2360	1516	2848	9415	835
CALML6	3	0	1	0	0	1	3	0
TMEM52	381	9	187	33	11	61	405	12
CFAP74	236	13	9	31	37	37	176	14
GABRD	71	1	8	1	2	12	25	3
PRKCZ	1007	63	539	190	125	341	1299	87
FAAP20	8790	351	3302	828	711	1380	7957	428
SKI	1134	71	549	330	210	394	807	126
MORN1	593	47	166	161	144	304	429	68
RER1	6181	163	2220	688	379	853	5345	222
PEX10	2759	88	932	309	212	363	2039	110
PLCH2	3	0	0	15	11	19	1	0
PANK4	55	22	17	67	48	110	43	30
HES5	29	562	4	5859	5118	11275	17	2269
TNFRSF14	0	0	0	2	1	2	0	2
PRXL2B	73	31	23	144	110	235	36	77
MMEL1	1	0	0	5	7	8	4	0
TTC34	0	1	1	20	8	21	0	0
ACTRT2	0	0	2	2	0	0	13	0
PRDM16	1732	170	295	604	567	1256	785	309
ARHGEF16	354	10	188	18	22	44	363	12
MEGF6	604	31	254	86	85	224	477	48
TPRG1L	929	21	479	94	53	112	857	33
WRAP73	1926	34	676	182	110	230	1589	61
TP73	28	2	15	1	1	3	21	2
CCDC27	2	0	1	1	2	1	0	0
SMIM1	470	42	388	79	64	111	764	25
LRRC47	2895	71	1274	322	192	461	2450	124
CEP104	844	56	469	199	138	255	782	72
DFFB	302	21	151	31	39	93	248	26
C1orf174	4467	95	1453	363	206	510	3604	160
AJAP1	93	10	57	22	29	21	92	10
NPHP4	547	64	170	237	174	344	424	100
KCNAB2	248	20	90	62	65	87	167	35
CHD5	16	2	12	2	2	2	10	0
RPL22	25286	4217	9369	13934	9879	22567	22156	6186
RNF207	95	2	47	6	4	15	61	5
ICMT	3213	59	1308	268	183	403	2132	103
HES3	15	0	15	4	0	0	8	0
GPR153	1077	21	385	80	59	195	492	47
ACOT7	5358	173	1909	531	306	709	3523	250
HES2	12	1	13	1	3	2	11	0
ESPN	352	3	294	25	16	50	507	10
TNFRSF25	373	4	102	16	30	72	246	15
PLEKHG5	467	25	156	103	108	213	343	45
NOL9	2427	76	848	358	217	454	1503	123
TAS1R1	1	1	1	3	0	3	3	2
ZBTB48	977	36	242	149	103	189	805	79
KLHL21	300	13	112	88	86	110	212	16
PHF13	1188	43	551	259	119	268	1005	89
THAP3	1834	74	567	233	133	290	1514	110
DNAJC11	1807	100	637	361	254	509	1317	122
CAMTA1	18677	922	6104	3570	2542	4378	13969	1393
VAMP3	1954	80	834	319	117	292	1874	72
PER3	354	81	182	147	95	237	369	78
UTS2	15	0	1	8	2	2	2	0
TNFRSF9	3	0	4	0	0	1	3	1
PARK7	50651	1373	12931	5518	3421	6573	38150	1888
ERRFI1	1439	88	489	302	215	443	997	194
SLC45A1	117	8	34	22	36	32	149	15
RERE	6908	1533	2218	5439	3794	7015	5650	2143
ENO1	100890	1833	31483	7389	3588	10145	57228	3533
CA6	7	0	4	3	0	0	4	0
SLC2A7	0	0	0	2	2	1	1	0
SLC2A5	2	1	1	0	1	4	3	0
GPR157	155	8	58	17	24	38	120	13
H6PD	543	21	230	96	75	137	365	39
SPSB1	104	17	105	90	33	71	112	14
SLC25A33	3184	152	1081	562	305	574	2417	232
TMEM201	752	18	239	72	32	91	515	28
PIK3CD	58	9	60	10	15	41	69	9
CLSTN1	4578	232	1559	703	513	1109	3693	241
CTNNBIP1	4856	122	3494	595	304	795	5438	215
LZIC	4614	216	1724	772	635	1225	3802	295
NMNAT1	540	34	252	119	101	174	552	34
RBP7	48	6	92	16	6	20	74	2
UBE4B	2131	183	897	748	527	969	1662	339
KIF1B	8774	747	2172	2381	2003	3990	5391	1174
PGD	12407	351	3910	1356	838	1740	9276	564
CENPS	2181	101	652	371	240	493	1575	165
CORT	24	21	11	52	29	78	3	19
DFFA	5558	164	2358	508	299	759	4275	208
PEX14	1153	116	398	500	334	587	971	195
CASZ1	679	44	217	129	133	174	504	61
C1orf127	3	0	3	2	1	4	14	1
TARDBP	4774	224	1857	864	532	1471	3547	348
MASP2	2	7	3	10	4	12	5	15
SRM	19033	289	5232	1175	730	1660	12952	511
EXOSC10	2809	92	846	365	228	567	1982	136
MTOR	2300	103	847	502	344	620	1704	158
ANGPTL7	1	3	3	3	5	8	8	2
UBIAD1	1136	31	392	128	94	172	803	55
DISP3	193	9	20	11	28	48	160	15
FBXO2	562	15	1800	82	64	94	1005	43
FBXO44	614	22	367	47	52	96	576	23
FBXO6	150	10	52	32	27	28	179	17
MAD2L2	9139	254	3532	679	536	1192	7866	340
DRAXIN	4187	75	951	221	99	332	2585	105
AGTRAP	5931	153	2058	633	364	824	5613	228
C1orf167	8	0	23	12	4	11	68	3
MTHFR	798	27	271	128	83	168	661	50
CLCN6	716	56	217	207	148	281	564	106
NPPA	0	1	1	3	1	3	3	5
NPPB	0	0	0	0	0	0	15	2
KIAA2013	1731	39	765	176	101	206	1618	63
PLOD1	1248	41	628	170	107	176	1520	62
MFN2	1134	52	421	161	111	241	864	56
MIIP	3696	95	1308	345	245	498	3104	120
TNFRSF8	31	2	24	5	4	6	34	1
TNFRSF1B	182	2	78	12	6	16	57	4
VPS13D	638	107	221	456	360	640	436	136
DHRS3	145	4	209	13	12	13	172	7
AADACL4	0	0	0	0	0	0	0	0
AADACL3	2	0	0	0	0	1	0	0
C1orf158	9	1	1	3	6	1	42	1
PRAMEF12	0	0	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0	0	0
HNRNPCL1	7	0	3	1	0	0	9	0
PRAMEF2	0	0	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0	0	0
HNRNPCL3	0	0	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0	0	0
HNRNPCL2	0	0	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0	0	0
HNRNPCL4	0	0	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0	0	0
