ecto_rep1	ecto_rep2	ecto_rep3	ecto_rep4	ecto_rep5	ecto_rep6
Xkr4	0	0	3	0	0	1
Rp1	2	3	0	1	2	3
Sox17	11	13	1	3	6	12
Mrpl15	387	305	112	107	185	176
Lypla1	120	91	22	28	35	43
Tcea1	334	212	84	90	140	126
Rgs20	1	1	0	1	1	6
Atp6v1h	151	101	40	42	50	45
Oprk1	0	0	0	2	0	0
Rb1cc1	546	352	100	97	157	153
X4732440D04Rik	60	20	8	12	14	16
St18	1	0	0	1	0	1
Pcmtd1	323	230	66	54	86	93
Gm26901	7	10	1	2	5	4
Sntg1	1	0	0	0	0	0
Rrs1	197	145	56	50	96	100
Adhfe1	1	1	0	0	2	0
X3110035E14Rik	0	0	0	0	0	0
Mybl1	31	14	3	8	9	14
Vcpip1	122	80	27	27	28	40
X1700034P13Rik	2	1	1	0	0	0
Sgk3	94	53	20	10	33	31
Mcmdc2	4	1	2	1	0	0
Snhg6	232	192	70	70	75	98
Tcf24	0	0	0	0	0	0
Ppp1r42	0	1	1	0	2	0
Cops5	446	309	118	127	187	179
Cspp1	178	120	49	40	55	86
Arfgef1	245	152	66	41	92	83
Cpa6	0	0	0	0	0	1
Prex2	6	6	9	4	5	8
A830018L16Rik	8	5	2	3	4	7
Sulf1	122	79	66	40	68	65
Slco5a1	2	8	7	2	1	4
Prdm14	0	1	0	0	0	0
Ncoa2	79	62	21	18	30	41
Tram1	233	151	70	47	69	103
Lactb2	65	26	12	15	12	17
Eya1	59	47	14	19	19	18
Gm9947	1	4	0	0	0	1
Msc	45	30	6	4	8	16
Trpa1	0	0	0	0	0	0
Kcnb2	1	0	1	0	0	0
Terf1	118	74	37	36	56	48
Sbspon	0	1	1	0	1	0
X4930444P10Rik	1	0	0	0	1	3
Rpl7	9125	6311	1956	1926	3202	3096
Rdh10	86	50	12	11	21	24
Stau2	89	68	14	16	34	40
Ube2w	122	72	27	17	38	42
Eloc	655	430	161	143	245	247
D030040B21Rik	1	0	0	1	0	0
Tmem70	175	117	38	36	54	56
Ly96	23	12	8	4	7	6
Jph1	42	24	9	13	14	9
Gdap1	3	2	0	1	0	0
Pi15	0	0	0	0	0	0
Gm16070	0	1	0	0	0	1
Crispld1	3	4	4	3	5	3
Tfap2b	10	2	6	5	4	3
Pkhd1	2	0	0	0	0	0
Il17f	1	0	1	0	0	0
Mcm3	294	162	83	79	102	113
X6720483E21Rik	0	0	0	0	2	0
Paqr8	85	82	11	11	25	33
Efhc1	3	2	0	1	1	2
Tram2	16	11	8	8	4	14
Tmem14a	46	33	8	4	11	23
Gsta3	222	143	11	22	45	23
Gm28836	0	0	0	0	0	0
Khdc1a	0	0	0	0	0	0
Kcnq5	17	4	1	5	1	3
Gm26580	0	0	0	0	0	0
Rims1	1	2	1	3	3	1
Gm29107	2	1	2	4	1	1
Ogfrl1	30	17	7	10	12	3
B3gat2	6	1	5	4	1	4
Smap1	519	371	145	133	196	245
Sdhaf4	218	150	41	33	73	66
Fam135a	94	47	22	25	31	35
Col9a1	3	1	3	1	0	1
Lmbrd1	105	76	28	19	29	18
Adgrb3	1	1	1	0	2	1
Phf3	484	288	123	117	158	179
Ptp4a1	480	295	90	71	125	145
X4931428L18Rik	0	0	0	0	1	0
Khdrbs2	1	0	0	1	1	0
Prim2	52	21	11	18	31	28
Rab23	32	20	11	11	15	16
Bag2	187	173	36	47	72	73
Zfp451	115	71	35	37	30	65
Bend6	6	2	1	1	0	1
Dst	361	210	93	84	94	121
Ccdc115	157	75	56	36	42	64
Imp4	176	124	43	52	55	60
Ptpn18	35	32	12	9	26	16
Cfc1	35	28	5	5	15	12
Amer3	0	0	0	0	0	0
Arhgef4	25	24	5	7	7	11
Gm38336	0	1	0	0	0	0
Fam168b	153	112	43	35	70	57
Plekhb2	55	46	10	10	21	18
Gm33222	0	1	0	0	0	0
X4930535G08Rik	0	1	0	0	0	0
Hs6st1	103	95	37	36	61	54
Uggt1	97	75	27	34	43	58
Neurl3	7	1	0	0	0	0
Arid5a	35	16	7	4	6	10
X4930403P22Rik	3	1	2	1	0	1
Kansl3	83	40	20	21	20	31
Lman2l	68	34	14	16	16	16
Cnnm4	17	10	1	2	4	3
Cnnm3	31	23	13	6	15	16
Ankrd39	38	25	5	9	6	6
Sema4c	21	19	16	15	13	17
Fam178b	5	5	2	0	1	2
Cox5b	1093	768	266	255	384	389
Actr1b	111	79	34	37	47	53
Zap70	0	0	0	0	0	0
Tmem131	110	61	23	23	38	32
Vwa3b	2	1	0	0	0	0
Cnga3	0	1	0	0	0	1
Inpp4a	19	11	5	5	7	3
Coa5	82	45	15	19	30	26
Unc50	240	164	64	40	88	53
Mgat4a	112	81	13	15	33	29
X2010300C02Rik	31	19	3	7	12	9
Tsga10	10	9	5	3	6	7
Lipt1	16	15	8	4	4	8
Mitd1	74	66	21	17	40	35
Mrpl30	782	490	171	182	251	269
Txndc9	443	289	88	68	132	135
Eif5b	883	555	265	272	392	391
Rev1	68	44	19	17	31	27
Aff3	3	3	2	3	3	1
Gm16152	0	1	0	0	0	1
Lonrf2	1	1	1	1	1	0
Chst10	2	3	1	0	1	0
Pdcl3	373	195	70	66	140	131
Rpl31	3501	2836	1072	1110	1698	1615
Tbc1d8	29	26	1	2	9	10
Cnot11	114	54	33	34	50	44
Rnf149	398	270	78	79	108	114
Creg2	2	2	0	2	2	0
D930019O06Rik	0	0	0	0	0	0
Rfx8	1	0	2	0	0	0
Map4k4	473	285	137	114	169	193
Il1r2	1	3	0	0	1	1
Gm16894	1	0	1	0	1	1
Il1r1	27	17	4	3	5	10
Mfsd9	3	6	2	0	1	1
Pantr1	7	3	1	1	3	1
Pou3f3	4	3	0	0	1	1
Mrps9	200	114	45	38	66	65
Gpr45	1	1	0	2	2	3
Tgfbrap1	23	13	7	6	17	10
X8430432A02Rik	0	0	0	0	0	0
AI597479	23	8	7	8	5	14
Fhl2	222	92	43	27	60	68
Nck2	29	17	6	12	9	17
X1500015O10Rik	0	4	4	0	0	0
Gm29155	0	0	0	0	0	0
