endoderm_NA18511	endoderm_NA18856	endoderm_NA18858	endoderm_NA18912	endoderm_NA19140	endoderm_NA19159	endoderm_NA19160	endoderm_NA19210
OR4F5	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0
SAMD11	368	121	25	62	11	1	476	113
NOC2L	1029	211	237	176	9	7	1680	166
KLHL17	66	11	24	6	3	0	108	11
PLEKHN1	55	12	94	2	0	0	138	5
PERM1	0	0	0	0	0	0	1	0
HES4	1871	432	559	201	36	25	2415	221
ISG15	1533	336	919	642	13	16	3320	201
AGRN	623	103	183	85	9	9	1131	81
RNF223	6	0	54	0	0	0	5	0
C1orf159	96	91	36	69	8	10	147	71
TTLL10	5	0	1	2	0	0	8	4
TNFRSF18	0	0	1	0	0	0	11	0
TNFRSF4	4	0	1	0	0	0	1	0
SDF4	1407	311	356	332	40	16	2250	272
B3GALT6	560	125	149	93	6	5	931	67
C1QTNF12	48	9	16	20	1	0	138	11
UBE2J2	1128	253	269	231	29	15	1838	190
SCNN1D	5	3	1	1	0	0	14	1
ACAP3	219	50	76	61	3	0	395	48
PUSL1	529	88	165	123	7	4	881	101
INTS11	895	165	229	170	18	9	1310	148
CPTP	166	27	81	29	3	0	264	22
TAS1R3	1	0	0	0	0	0	2	0
DVL1	287	53	104	44	1	1	522	47
MXRA8	370	24	641	103	5	1	717	26
AURKAIP1	5227	1133	1550	1172	110	46	8283	823
CCNL2	798	217	221	161	21	10	1322	163
MRPL20	3928	811	1152	765	83	36	7053	619
ANKRD65	95	4	86	3	0	1	62	5
TMEM88B	0	0	1	0	0	0	0	0
VWA1	238	30	367	28	1	3	442	23
ATAD3C	3	0	7	1	0	0	8	2
ATAD3B	464	63	77	65	5	2	661	61
ATAD3A	519	109	126	105	8	3	978	90
TMEM240	53	18	12	9	3	2	121	9
SSU72	3629	701	1105	689	74	30	6081	581
FNDC10	91	11	29	5	0	0	186	5
MIB2	383	111	119	44	4	4	722	57
MMP23B	136	30	133	15	2	4	222	36
CDK11B	359	124	110	106	11	8	635	132
SLC35E2B	164	62	41	51	7	6	292	44
CDK11A	355	71	74	89	12	6	639	70
SLC35E2A	72	49	16	31	4	3	166	36
NADK	145	69	48	67	8	2	248	74
GNB1	2977	1275	777	1218	138	53	4813	1055
CALML6	0	0	0	0	0	0	1	0
TMEM52	68	27	6	17	1	0	192	22
CFAP74	3	4	1	0	0	0	5	3
GABRD	3	0	1	0	0	0	2	0
PRKCZ	456	282	104	189	16	8	951	191
FAAP20	2474	716	446	429	65	22	3998	601
SKI	266	139	53	118	13	5	427	136
MORN1	49	59	19	43	8	4	102	59
RER1	2215	651	622	623	59	27	3810	417
PEX10	418	104	118	96	6	5	697	77
PLCH2	0	0	0	0	0	1	1	0
PANK4	4	27	2	19	2	1	12	13
HES5	0	57	0	54	2	1	1	37
TNFRSF14	0	0	0	0	0	0	0	1
PRXL2B	11	33	3	19	8	0	15	21
MMEL1	0	0	0	0	0	0	0	1
TTC34	0	1	0	7	1	0	1	1
ACTRT2	0	0	0	0	0	0	7	0
PRDM16	63	39	1	19	2	0	69	38
ARHGEF16	447	66	75	59	7	1	640	76
MEGF6	133	55	18	31	12	6	182	64
TPRG1L	902	165	148	157	22	3	1434	142
WRAP73	305	52	104	43	5	2	567	57
TP73	27	4	13	1	1	0	53	1
CCDC27	0	1	0	0	1	0	1	1
SMIM1	233	90	87	74	7	3	584	46
LRRC47	596	155	184	118	18	7	862	118
CEP104	242	95	106	75	12	2	341	69
DFFB	69	24	19	20	0	1	94	21
C1orf174	826	144	205	144	24	4	1539	136
AJAP1	97	13	4	22	0	2	67	20
NPHP4	53	83	13	50	11	8	119	67
KCNAB2	32	14	14	14	2	1	77	19
CHD5	2	1	1	4	0	0	6	2
RPL22	4958	6971	1244	5862	673	325	9471	5630
RNF207	24	5	7	4	0	0	15	2
ICMT	642	137	171	128	16	8	1094	124
HES3	0	0	1	0	0	0	0	0
GPR153	16	11	22	3	0	1	37	5
ACOT7	543	185	262	115	17	2	937	150
HES2	72	4	171	5	0	1	32	1
ESPN	293	110	84	97	8	10	739	101
TNFRSF25	91	18	10	14	0	1	109	14
PLEKHG5	142	63	41	37	3	3	201	38
NOL9	345	139	78	102	19	4	534	102
TAS1R1	0	0	0	0	0	0	2	3
ZBTB48	178	68	45	50	4	3	288	40
KLHL21	68	29	35	27	4	5	146	15
PHF13	210	69	66	49	5	3	422	68
THAP3	280	81	80	52	9	4	522	58
DNAJC11	371	231	97	179	18	9	578	161
CAMTA1	3045	1286	743	1073	122	57	5392	1042
VAMP3	521	159	222	112	8	7	932	91
PER3	21	25	11	17	1	1	69	20
UTS2	19	3	1	10	0	0	10	5
TNFRSF9	4	1	4	1	0	0	2	1
PARK7	9717	2463	1914	2206	228	106	15118	1846
ERRFI1	1005	770	283	678	57	23	1669	485
SLC45A1	2	1	4	3	0	2	6	8
RERE	1328	3040	316	2125	296	143	2428	2498
ENO1	25069	4220	4400	4268	479	231	23070	5236
CA6	0	1	0	0	0	0	0	0
SLC2A7	2	27	0	26	1	0	1	15
SLC2A5	72	65	0	56	4	0	203	25
GPR157	116	22	55	33	0	1	157	22
H6PD	177	78	47	51	6	2	233	65
SPSB1	185	124	66	149	11	3	239	130
SLC25A33	819	449	125	314	31	22	1540	284
TMEM201	107	28	22	14	4	3	188	16
PIK3CD	22	8	13	9	1	1	37	12
CLSTN1	668	308	154	190	24	14	1038	208
CTNNBIP1	1355	327	459	282	34	21	2172	274
LZIC	837	333	249	251	44	22	1567	235
NMNAT1	111	58	31	27	4	0	218	39
RBP7	25	2	25	11	0	0	67	4
UBE4B	397	354	106	345	41	20	730	340
KIF1B	885	710	173	541	63	30	1296	520
PGD	2399	511	492	532	41	17	3519	514
CENPS	418	163	84	139	16	9	727	100
CORT	4	22	0	7	1	1	3	8
DFFA	1460	331	363	277	41	19	2472	302
PEX14	230	270	63	238	23	14	368	279
CASZ1	52	26	11	9	2	0	51	24
C1orf127	0	0	0	0	0	0	0	1
TARDBP	827	370	173	293	34	20	1471	262
MASP2	99	17	2	43	0	0	251	12
SRM	3028	557	770	570	63	24	5177	483
EXOSC10	576	159	119	144	23	5	885	120
MTOR	462	248	99	200	29	12	726	166
ANGPTL7	1	3	2	1	0	0	0	3
UBIAD1	214	62	41	50	5	4	337	45
DISP3	14	10	1	3	0	0	25	8
FBXO2	1051	414	848	314	31	9	2350	327
FBXO44	258	95	82	53	8	0	480	89
FBXO6	384	92	37	125	8	4	824	89
MAD2L2	1680	421	435	188	29	10	3106	305
DRAXIN	125	30	36	13	3	0	281	18
AGTRAP	1372	344	496	321	23	8	2585	249
C1orf167	7	5	6	3	1	0	32	4
MTHFR	137	49	52	48	4	2	309	38
CLCN6	131	125	37	99	10	8	236	100
NPPA	0	4	0	1	0	0	6	8
NPPB	75	0	111	33	5	0	40	8
KIAA2013	640	166	206	191	19	6	1145	124
PLOD1	486	122	199	106	9	9	805	81
MFN2	211	112	58	68	11	2	356	55
MIIP	748	166	156	167	16	9	1473	143
TNFRSF8	1	4	8	1	0	0	7	6
TNFRSF1B	7	1	3	6	1	1	26	2
VPS13D	172	300	40	357	27	8	283	270
DHRS3	775	298	73	211	34	15	1183	206
AADACL4	1	0	0	0	1	0	1	0
AADACL3	1	0	0	0	0	0	0	1
C1orf158	1	2	0	1	0	0	0	0
PRAMEF12	0	0	1	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0	0	0
HNRNPCL1	2	0	0	0	0	0	2	0
PRAMEF2	0	0	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0	0	0
HNRNPCL3	0	0	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0	0	0
HNRNPCL2	0	0	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0	0	0
HNRNPCL4	0	0	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0	0	0
PRAMEF33	0	0	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0
