meso_rep1	meso_rep2	meso_rep3	meso_rep4	meso_rep5	meso_rep6
Xkr4	3	1	1	1	1	1
Rp1	0	0	0	0	0	0
Sox17	11	1	8	7	7	3
Mrpl15	625	267	344	331	255	214
Lypla1	108	40	46	35	37	29
Tcea1	472	240	262	254	152	177
Rgs20	0	1	0	0	2	1
Atp6v1h	154	78	79	72	45	42
Oprk1	2	2	0	2	2	0
Rb1cc1	372	132	199	160	105	120
X4732440D04Rik	32	15	19	13	8	8
St18	1	0	0	0	0	0
Pcmtd1	177	81	80	70	49	53
Gm26901	4	1	2	1	0	0
Sntg1	1	2	2	0	1	0
Rrs1	376	108	155	140	90	114
Adhfe1	2	3	1	3	0	0
X3110035E14Rik	0	0	0	0	0	0
Mybl1	31	10	17	9	18	19
Vcpip1	137	57	58	62	41	50
X1700034P13Rik	0	0	1	1	0	0
Sgk3	28	6	7	11	4	12
Mcmdc2	5	1	4	2	4	1
Snhg6	537	252	260	271	202	183
Tcf24	5	2	1	1	1	4
Ppp1r42	0	0	1	1	0	0
Cops5	644	266	288	319	236	239
Cspp1	228	119	120	130	97	73
Arfgef1	205	83	83	104	54	48
Cpa6	5	2	4	0	0	1
Prex2	51	24	20	24	15	11
A830018L16Rik	5	1	5	3	2	1
Sulf1	184	97	73	81	53	56
Slco5a1	15	7	2	3	4	4
Prdm14	2	0	0	1	0	1
Ncoa2	103	62	62	52	33	37
Tram1	336	142	139	108	99	99
Lactb2	59	20	27	40	21	18
Eya1	38	6	10	13	6	7
Gm9947	2	0	0	0	0	1
Msc	32	11	5	11	5	1
Trpa1	0	0	0	0	0	0
Kcnb2	32	7	2	8	6	7
Terf1	150	70	98	89	64	47
Sbspon	4	1	0	1	0	1
X4930444P10Rik	1	3	1	1	1	0
Rpl7	12675	5628	5544	5201	4260	4052
Rdh10	147	80	67	55	34	29
Stau2	68	21	32	25	19	20
Ube2w	111	68	38	54	38	44
Eloc	965	471	463	438	360	298
D030040B21Rik	0	2	2	0	1	2
