mesoderm_NA18511	mesoderm_NA18856	mesoderm_NA18858	mesoderm_NA18912	mesoderm_NA19140	mesoderm_NA19159	mesoderm_NA19160	mesoderm_NA19210
OR4F5	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0
SAMD11	118	23	7	67	8	9	272	4
NOC2L	1053	80	108	441	83	47	2204	15
KLHL17	61	5	6	23	2	2	163	4
PLEKHN1	13	2	1	4	0	0	15	0
PERM1	0	0	1	0	0	0	0	0
HES4	493	121	68	201	46	54	1333	11
ISG15	1230	111	101	954	100	73	2630	15
AGRN	271	12	22	75	10	4	523	0
RNF223	0	0	0	0	0	0	1	0
C1orf159	96	50	8	237	40	40	203	11
TTLL10	4	0	0	0	0	0	6	1
TNFRSF18	4	0	0	8	0	1	32	0
TNFRSF4	2	0	0	1	0	0	15	0
SDF4	1267	114	88	546	87	70	2287	28
B3GALT6	621	63	39	198	42	29	1237	8
C1QTNF12	44	3	4	24	0	0	102	0
UBE2J2	1221	118	77	550	123	73	2408	18
SCNN1D	7	0	0	5	1	2	26	0
ACAP3	207	26	11	71	15	9	435	5
PUSL1	446	36	43	179	33	28	835	14
INTS11	962	89	66	334	70	46	1787	20
CPTP	220	14	17	74	11	10	433	5
TAS1R3	0	0	0	1	0	0	2	0
DVL1	291	23	17	80	11	10	505	4
MXRA8	1347	56	54	454	41	42	3206	17
AURKAIP1	5332	614	561	2260	388	266	9091	78
CCNL2	828	68	75	366	53	64	1630	18
MRPL20	4730	380	347	1906	356	256	8331	66
ANKRD65	35	2	3	9	1	0	66	2
TMEM88B	0	0	0	1	0	0	2	0
VWA1	249	12	34	67	12	11	438	0
ATAD3C	4	0	0	8	0	0	23	1
ATAD3B	434	18	31	165	19	20	662	5
ATAD3A	580	46	50	204	28	27	1146	8
TMEM240	107	22	3	56	9	9	260	2
SSU72	4261	352	288	1732	270	210	7666	65
FNDC10	126	13	18	40	6	3	298	1
MIB2	372	36	47	176	21	19	1036	5
MMP23B	1018	46	45	222	26	25	1730	14
CDK11B	460	77	31	354	63	47	1164	15
SLC35E2B	182	37	14	146	21	16	401	4
CDK11A	402	47	23	258	29	42	884	9
SLC35E2A	72	16	10	107	19	13	173	4
NADK	160	30	17	139	36	16	323	9
GNB1	3008	548	194	2754	542	295	5517	111
CALML6	1	0	0	0	0	0	4	0
TMEM52	50	6	8	32	4	5	106	1
CFAP74	3	2	0	6	3	1	11	0
GABRD	1	1	3	1	0	1	4	0
PRKCZ	174	28	25	91	19	10	440	5
FAAP20	2135	258	176	859	181	114	4278	49
SKI	280	51	15	256	50	34	482	13
MORN1	74	31	6	153	16	22	143	8
RER1	2250	196	152	956	116	127	3852	50
PEX10	407	61	20	249	28	28	828	8
PLCH2	0	0	0	2	0	0	0	0
PANK4	7	11	1	30	9	7	18	4
HES5	0	31	0	178	16	32	0	1
TNFRSF14	0	1	0	11	0	0	0	0
PRXL2B	4	12	2	84	10	7	23	0
MMEL1	0	0	0	2	0	0	0	0
TTC34	0	2	0	3	2	0	0	0
ACTRT2	0	0	0	0	0	0	6	0
PRDM16	26	13	1	54	20	8	40	1
ARHGEF16	61	4	14	29	3	3	134	0
MEGF6	104	17	10	81	22	16	215	4
TPRG1L	334	21	29	99	14	14	559	3
WRAP73	329	39	31	129	25	15	700	2
TP73	3	3	1	2	0	0	5	0
CCDC27	0	0	0	4	0	0	2	1
SMIM1	178	7	7	47	10	2	322	0
LRRC47	581	75	74	296	50	33	1098	10
CEP104	233	47	22	219	30	20	507	8
DFFB	78	12	9	57	6	8	120	2
C1orf174	758	84	60	325	58	37	1641	15
AJAP1	8	4	4	65	1	1	26	2
NPHP4	63	33	9	138	21	11	157	7
KCNAB2	33	7	3	30	5	2	85	3
CHD5	2	0	0	2	0	0	3	0
RPL22	4753	3249	388	13069	2197	1681	10339	507
RNF207	74	2	6	19	3	3	115	0
ICMT	611	71	52	255	54	32	1191	17
HES3	0	0	0	0	0	0	2	2
GPR153	51	16	6	18	4	4	100	1
ACOT7	465	97	94	286	65	48	1165	11
HES2	2	1	2	4	1	0	6	0
ESPN	12	3	9	20	2	2	42	1
TNFRSF25	43	7	7	25	4	6	147	1
PLEKHG5	110	32	6	121	15	8	260	1
NOL9	452	86	20	358	53	40	779	8
TAS1R1	1	0	0	0	0	1	1	0
ZBTB48	147	22	8	116	29	12	330	8
KLHL21	68	15	8	87	9	9	189	4
PHF13	219	34	15	155	22	19	479	7
THAP3	342	39	16	147	19	8	702	10
DNAJC11	372	95	41	435	75	59	683	22
CAMTA1	2702	590	216	2442	413	256	5445	94
VAMP3	725	69	32	335	61	54	1327	14
PER3	16	13	4	50	8	7	81	4
UTS2	19	5	0	19	0	0	32	0
TNFRSF9	4	0	1	9	0	0	2	0
PARK7	11696	1338	604	5679	987	744	20764	185
ERRFI1	707	73	26	326	71	91	694	9
SLC45A1	6	1	0	13	2	0	6	0
RERE	1339	1290	74	5483	1065	813	2695	201
ENO1	17811	1702	1254	8351	1509	1124	22532	351
CA6	0	0	0	1	0	0	0	0
SLC2A7	0	1	0	0	0	0	0	0
SLC2A5	1	1	1	2	0	0	4	0
GPR157	38	4	2	12	4	2	28	0
H6PD	165	33	9	116	31	14	338	4
SPSB1	192	37	10	225	44	27	343	7
SLC25A33	410	121	40	429	67	39	810	14
TMEM201	86	11	9	41	9	6	211	1
PIK3CD	8	6	5	15	4	0	14	0
CLSTN1	566	157	33	542	83	73	1381	26
CTNNBIP1	1062	129	67	540	107	88	1873	24
LZIC	773	134	44	530	117	75	1551	17
NMNAT1	119	16	2	94	23	15	247	7
RBP7	30	2	6	3	0	0	22	0
UBE4B	409	159	19	853	155	107	827	45
KIF1B	768	300	58	1379	218	180	1502	42
PGD	1888	202	138	985	173	114	3808	41
CENPS	324	75	27	341	78	53	760	17
CORT	2	6	1	32	9	2	6	3
DFFA	948	117	152	517	83	55	2175	19
PEX14	227	100	15	548	88	54	424	22
CASZ1	15	12	7	29	1	2	38	2
C1orf127	0	0	0	0	0	0	0	0
TARDBP	703	171	75	739	151	98	1546	31
MASP2	0	0	0	10	1	1	0	1
SRM	3748	317	393	1284	245	183	6432	44
EXOSC10	623	75	42	367	74	58	1244	21
MTOR	514	112	29	487	98	62	864	17
ANGPTL7	0	0	0	3	0	2	0	0
UBIAD1	195	19	22	144	22	16	401	4
DISP3	13	7	0	58	3	3	61	0
FBXO2	789	23	128	270	23	62	1479	12
FBXO44	115	1	10	38	12	0	252	5
FBXO6	49	5	5	25	4	0	89	1
MAD2L2	986	166	252	478	94	60	2483	22
DRAXIN	63	19	23	53	3	6	129	3
AGTRAP	757	122	105	543	74	52	1667	13
C1orf167	9	3	1	10	1	0	49	0
MTHFR	190	17	9	106	17	15	363	8
CLCN6	157	41	12	201	26	24	273	2
NPPA	17	10	1	93	2	9	90	1
NPPB	584	3	9	75	2	9	244	0
KIAA2013	538	43	47	187	52	34	1039	11
PLOD1	919	73	65	264	47	43	1735	14
MFN2	226	37	20	183	27	19	469	7
MIIP	598	69	69	316	60	36	1211	10
TNFRSF8	3	1	1	6	1	1	3	0
TNFRSF1B	17	3	1	30	0	3	28	3
VPS13D	127	85	14	612	94	71	283	12
DHRS3	29	17	34	18	4	3	103	0
AADACL4	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0
C1orf158	0	0	0	1	0	0	0	0
PRAMEF12	0	0	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0	0	0
HNRNPCL1	3	0	0	0	0	0	3	0
PRAMEF2	0	0	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0	0	0
HNRNPCL3	0	0	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0	0	0
HNRNPCL2	0	0	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0	0	0
HNRNPCL4	0	0	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0	0	0
PRAMEF33	0	0	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0
