parietal_endo_rep1	parietal_endo_rep2	parietal_endo_rep3	parietal_endo_rep4	parietal_endo_rep5	parietal_endo_rep6
Xkr4	0	0	0	0	0	2
Rp1	0	0	0	0	0	1
Sox17	740	449	265	157	411	375
Mrpl15	383	274	146	158	326	283
Lypla1	116	62	36	23	56	64
Tcea1	227	155	95	100	178	176
Rgs20	0	2	3	0	2	1
Atp6v1h	200	112	74	49	123	109
Oprk1	0	0	0	0	0	0
Rb1cc1	410	234	134	130	254	276
X4732440D04Rik	15	10	4	9	11	4
St18	0	2	0	0	0	1
Pcmtd1	109	67	41	24	63	74
Gm26901	4	3	5	3	3	5
Sntg1	0	0	1	0	0	0
Rrs1	95	57	34	23	67	58
Adhfe1	3	0	0	1	2	2
X3110035E14Rik	0	0	0	0	0	0
Mybl1	9	6	5	3	8	6
Vcpip1	80	63	31	27	68	60
X1700034P13Rik	0	1	0	1	4	3
Sgk3	45	20	13	8	23	20
Mcmdc2	0	2	0	0	0	0
Snhg6	266	220	127	136	251	215
Tcf24	8	12	3	3	7	11
Ppp1r42	0	0	0	0	0	0
Cops5	357	224	141	116	275	289
Cspp1	199	120	87	54	141	127
Arfgef1	215	128	89	53	127	151
Cpa6	0	1	0	0	0	1
Prex2	3	0	2	0	2	2
A830018L16Rik	4	1	1	0	1	0
Sulf1	26	21	9	7	15	16
Slco5a1	4	2	2	0	0	3
Prdm14	1	1	0	0	1	0
Ncoa2	97	64	36	33	42	55
Tram1	486	316	211	175	372	357
Lactb2	54	47	23	21	37	46
Eya1	6	2	2	0	3	1
Gm9947	2	3	4	1	2	2
Msc	13	13	16	12	24	25
Trpa1	0	0	0	0	0	0
Kcnb2	4	0	0	0	0	1
Terf1	121	82	36	46	91	92
Sbspon	1	0	0	0	1	0
X4930444P10Rik	0	0	0	0	0	0
Rpl7	4862	3371	1890	1652	3849	3419
Rdh10	72	31	25	18	58	48
Stau2	30	28	9	14	23	32
Ube2w	50	32	15	15	39	34
Eloc	597	455	296	221	571	548
D030040B21Rik	1	0	0	0	0	0
Tmem70	82	72	43	35	80	83
Ly96	21	16	2	6	11	7
Jph1	5	3	0	0	2	5
Gdap1	0	0	0	0	1	1
Pi15	0	0	0	0	0	0
Gm16070	0	0	0	0	0	0
Crispld1	0	0	0	0	1	0
Tfap2b	0	0	0	0	0	0
Pkhd1	1	1	0	0	2	0
Il17f	0	0	0	0	1	0
Mcm3	352	213	137	108	237	240
X6720483E21Rik	0	0	0	1	0	0
Paqr8	34	28	16	9	25	20
Efhc1	1	5	2	1	3	2
Tram2	228	171	109	66	168	172
Tmem14a	27	27	10	9	26	14
Gsta3	3	2	1	1	3	1
Gm28836	0	0	0	0	0	0
Khdc1a	0	0	0	0	1	0
Kcnq5	19	14	8	7	12	9
Gm26580	0	0	1	0	0	0
Rims1	1	0	0	0	0	0
Gm29107	3	1	0	1	0	1
Ogfrl1	72	46	31	34	59	58
B3gat2	11	3	4	3	8	7
Smap1	573	392	215	204	523	490
Sdhaf4	131	105	49	35	105	107
Fam135a	44	43	16	11	37	30
Col9a1	0	0	0	0	2	0
Lmbrd1	189	147	88	69	123	141
Adgrb3	0	1	0	0	0	0
Phf3	691	376	232	221	428	398
Ptp4a1	531	280	157	123	252	242
X4931428L18Rik	0	0	0	0	0	0
Khdrbs2	1	0	0	1	1	0
Prim2	34	32	21	21	33	30
Rab23	22	10	10	10	15	18
Bag2	226	122	79	70	155	162
Zfp451	135	79	49	32	65	80
Bend6	0	0	0	0	1	0
Dst	109	68	46	26	74	69
Ccdc115	71	63	33	25	55	57
Imp4	147	117	69	51	121	114
Ptpn18	25	11	8	6	8	14
Cfc1	3	1	5	3	2	0
Amer3	0	0	0	0	0	0
Arhgef4	4	5	3	1	3	6
Gm38336	2	1	3	0	0	2
Fam168b	153	85	55	48	98	88
Plekhb2	71	59	23	18	40	46
Gm33222	1	1	0	0	0	0
X4930535G08Rik	0	0	0	0	0	0
Hs6st1	141	96	61	38	83	109
Uggt1	207	144	65	72	131	139
Neurl3	2	3	1	0	2	2
Arid5a	21	8	7	6	7	12
X4930403P22Rik	4	1	0	1	3	0
Kansl3	79	55	27	20	51	63
Lman2l	34	24	21	14	34	35
Cnnm4	10	7	1	2	2	1
Cnnm3	39	21	14	5	24	18
Ankrd39	47	21	10	11	21	15
Sema4c	74	63	25	25	55	37
Fam178b	6	5	0	2	0	1
Cox5b	881	672	366	319	708	746
Actr1b	159	92	60	56	112	113
Zap70	0	0	0	0	0	1
Tmem131	120	73	54	38	90	93
Vwa3b	0	0	0	0	0	0
Cnga3	0	0	0	0	0	0
Inpp4a	10	8	4	6	4	5
Coa5	94	63	48	29	52	56
Unc50	257	188	105	101	214	201
Mgat4a	68	62	23	13	58	52
X2010300C02Rik	4	3	0	1	2	2
Tsga10	5	5	3	5	5	6
Lipt1	7	1	1	3	11	10
Mitd1	46	50	24	28	57	34
Mrpl30	550	392	244	194	423	399
Txndc9	336	256	148	135	324	254
Eif5b	831	499	335	276	673	680
Rev1	148	80	67	56	96	99
Aff3	3	1	1	2	2	5
Gm16152	0	1	0	0	0	3
Lonrf2	1	0	1	0	0	0
Chst10	2	5	0	0	3	0
Pdcl3	261	165	102	85	193	212
Rpl31	2353	1916	1323	1231	2489	2291
Tbc1d8	8	3	0	4	4	4
Cnot11	91	54	34	34	57	69
Rnf149	217	144	94	57	159	135
Creg2	0	0	0	0	0	0
D930019O06Rik	0	0	0	0	0	0
Rfx8	0	0	0	0	0	0
Map4k4	403	239	152	143	247	310
Il1r2	1	1	0	0	0	0
Gm16894	0	0	0	0	0	0
Il1r1	0	1	0	0	2	1
Mfsd9	7	6	3	2	3	7
Pantr1	0	0	1	0	2	1
