pluri_rep1	pluri_rep2	pluri_rep3	pluri_rep4	pluri_rep5	pluri_rep6
Xkr4	2	1	1	3	2	1
Rp1	0	0	0	0	0	1
Sox17	17	4	8	3	9	12
Mrpl15	4664	2949	1475	1558	1916	1882
Lypla1	730	463	230	253	233	257
Tcea1	2185	1593	850	910	893	942
Rgs20	1	1	4	2	0	2
Atp6v1h	574	382	180	161	166	182
Oprk1	1	3	0	2	0	1
Rb1cc1	788	477	296	254	253	257
X4732440D04Rik	37	23	10	11	9	13
St18	2	1	0	0	1	1
Pcmtd1	488	319	152	158	187	198
Gm26901	43	18	17	13	15	10
Sntg1	8	2	3	1	4	1
Rrs1	1085	631	343	375	421	419
Adhfe1	11	7	3	7	3	6
X3110035E14Rik	0	1	0	1	0	0
Mybl1	144	85	61	42	57	52
Vcpip1	282	160	113	91	98	108
X1700034P13Rik	2	7	2	0	1	1
Sgk3	237	109	46	50	55	54
Mcmdc2	29	21	14	8	11	9
Snhg6	1251	972	629	667	564	506
Tcf24	19	8	6	11	5	9
Ppp1r42	1	1	1	0	0	2
Cops5	1572	989	476	523	602	649
Cspp1	744	509	309	314	298	298
Arfgef1	285	179	104	114	114	122
Cpa6	0	0	0	0	1	0
Prex2	35	23	15	15	13	10
A830018L16Rik	71	55	25	42	41	36
Sulf1	91	57	28	24	25	26
Slco5a1	51	28	19	12	17	26
Prdm14	52	42	18	31	24	28
Ncoa2	186	137	79	58	83	84
Tram1	461	308	132	137	173	178
Lactb2	606	438	202	185	245	238
Eya1	12	7	6	11	6	4
Gm9947	12	3	5	3	10	3
Msc	148	81	71	36	63	66
Trpa1	8	2	4	3	4	5
Kcnb2	0	1	1	0	1	0
Terf1	1472	987	414	433	481	456
Sbspon	5	2	1	1	1	1
X4930444P10Rik	1	1	1	0	0	1
Rpl7	31314	21929	10711	11211	13140	12720
Rdh10	53	26	20	17	24	14
Stau2	118	68	42	24	29	44
Ube2w	171	115	55	54	55	58
Eloc	2496	1550	796	922	1026	982
D030040B21Rik	1	1	0	1	0	1
Tmem70	339	248	111	119	148	151
Ly96	8	5	2	3	4	2
Jph1	42	35	10	17	13	17
Gdap1	2	6	2	2	2	1
Pi15	0	0	0	0	1	0
Gm16070	0	1	0	0	0	0
Crispld1	16	8	5	4	5	7
Tfap2b	1	0	2	1	1	4
Pkhd1	1	2	3	1	6	0
Il17f	6	6	5	2	2	4
Mcm3	3361	2133	1074	1120	1197	1206
X6720483E21Rik	0	0	0	0	0	0
Paqr8	14	15	8	3	7	5
Efhc1	7	14	4	7	12	9
Tram2	48	33	18	19	17	15
Tmem14a	40	20	16	16	27	22
Gsta3	63	48	14	23	19	28
Gm28836	16	6	3	8	8	7
Khdc1a	7	6	1	2	4	4
Kcnq5	5	0	2	2	0	1
Gm26580	0	0	0	0	0	0
Rims1	136	74	38	42	41	51
Gm29107	9	4	1	3	1	2
Ogfrl1	158	99	54	53	65	52
B3gat2	10	5	7	3	2	4
Smap1	1259	829	389	397	512	498
Sdhaf4	597	394	175	166	225	222
Fam135a	124	78	33	37	43	23
Col9a1	3	1	2	2	3	0
Lmbrd1	117	84	34	44	34	33
Adgrb3	8	4	4	4	2	6
Phf3	2197	1441	753	746	784	804
Ptp4a1	797	475	300	269	275	295
X4931428L18Rik	19	16	4	0	2	6
Khdrbs2	8	3	2	0	4	3
