pluripotent_NA18511	pluripotent_NA18856	pluripotent_NA18858	pluripotent_NA18912	pluripotent_NA19140	pluripotent_NA19159	pluripotent_NA19160	pluripotent_NA19210
OR4F5	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0
SAMD11	216	160	664	128	27	27	342	134
NOC2L	4243	599	49756	631	87	186	2185	1066
KLHL17	231	45	2815	22	4	9	172	86
PLEKHN1	108	1	854	14	5	9	59	32
PERM1	1	0	7	0	0	0	1	0
HES4	2222	6017	22375	887	485	939	633	2584
ISG15	2661	633	25945	1067	95	179	1517	848
AGRN	912	211	11212	181	29	93	449	259
RNF223	0	0	11	3	3	2	2	0
C1orf159	130	320	1846	260	52	73	71	242
TTLL10	3	12	77	3	0	3	3	4
TNFRSF18	9	1	120	4	1	3	11	4
TNFRSF4	4	0	18	1	0	0	2	1
SDF4	2381	751	33703	604	115	245	1389	974
B3GALT6	1089	335	13137	264	49	80	660	346
C1QTNF12	190	45	2703	52	1	13	86	42
UBE2J2	3287	916	38756	696	111	260	1615	1104
SCNN1D	9	9	248	10	0	5	9	12
ACAP3	285	140	3177	81	12	32	146	106
PUSL1	1789	335	22218	332	51	102	1006	530
INTS11	2440	601	35214	536	109	150	1385	871
CPTP	288	92	4769	78	17	30	153	113
TAS1R3	0	0	11	0	0	0	1	0
DVL1	771	163	9389	123	21	43	470	174
MXRA8	261	253	6806	322	41	68	105	150
AURKAIP1	23914	3575	304780	3422	518	985	10760	5270
CCNL2	2069	572	25250	436	86	221	1013	729
MRPL20	16978	2641	192779	2874	434	938	9129	3680
ANKRD65	116	14	881	18	5	5	55	43
TMEM88B	1	1	10	3	0	0	0	2
VWA1	1400	105	17398	175	15	41	625	254
ATAD3C	6	7	289	15	1	2	17	10
ATAD3B	2948	139	24135	233	22	67	967	455
ATAD3A	2416	298	29413	286	34	86	1113	524
TMEM240	127	172	1952	58	12	45	101	112
SSU72	13941	2666	153657	2591	425	803	7570	3510
FNDC10	1353	154	14566	194	56	47	792	261
MIB2	3495	267	36925	382	66	126	1686	606
MMP23B	728	136	10342	138	23	49	351	265
CDK11B	1411	594	17514	380	58	133	991	616
SLC35E2B	332	300	4524	172	50	68	240	270
CDK11A	1114	327	12487	294	58	105	723	400
SLC35E2A	189	246	1793	141	34	36	127	201
NADK	517	241	6463	198	36	80	323	423
GNB1	6029	3340	86514	2793	465	890	3713	4154
CALML6	3	0	45	1	0	0	4	2
TMEM52	557	66	7350	107	10	37	325	137
CFAP74	6	55	168	11	3	5	3	25
GABRD	35	7	967	1	0	1	6	18
PRKCZ	872	227	11928	309	45	127	541	505
FAAP20	5676	1821	85287	1256	265	466	3929	2478
SKI	876	554	9085	494	81	178	542	827
MORN1	121	261	1760	135	40	60	82	246
RER1	5130	1119	61448	974	159	336	2729	1498
PEX10	1207	430	13992	331	67	148	711	472
PLCH2	0	5	0	1	0	1	0	2
PANK4	20	141	264	64	17	19	17	91
HES5	1	2538	2	782	387	606	0	1600
TNFRSF14	0	1	0	1	0	0	0	0
PRXL2B	63	186	756	173	19	61	40	207
MMEL1	0	1	9	4	0	5	4	0
TTC34	0	4	38	19	1	5	0	2
ACTRT2	0	0	5	0	0	0	0	0
PRDM16	56	436	373	137	54	112	25	246
ARHGEF16	649	42	7966	76	15	21	276	165
MEGF6	117	147	2387	104	26	55	84	253
TPRG1L	1049	132	13950	148	31	59	416	279
WRAP73	1418	292	18935	213	37	72	719	408
TP73	34	10	541	18	3	7	27	23
CCDC27	5	2	70	8	0	2	5	3
SMIM1	270	169	4155	59	17	49	211	159
LRRC47	3884	497	49541	673	137	213	2091	1245
CEP104	948	282	11940	216	42	82	461	375
DFFB	413	92	4706	59	22	33	173	140
C1orf174	2487	562	30417	436	65	145	1280	686
AJAP1	428	52	1745	102	29	15	193	252
NPHP4	110	413	1623	201	46	69	154	283
KCNAB2	58	79	968	74	9	17	76	79
CHD5	128	5	893	5	1	3	34	28
RPL22	16950	24895	197194	21236	3741	7982	10789	35401
RNF207	108	7	1079	5	5	8	54	33
ICMT	2518	347	29563	438	81	203	1340	842
HES3	52	8	457	15	3	8	17	26
GPR153	201	124	2252	44	18	55	124	181
ACOT7	3779	909	51560	791	147	279	1876	1447
HES2	333	7	1319	10	8	7	76	42
ESPN	611	45	12471	145	24	42	493	267
TNFRSF25	330	35	2156	38	6	13	98	65
PLEKHG5	323	115	4485	108	25	46	134	172
NOL9	1577	492	18337	480	92	143	774	584
TAS1R1	0	4	35	1	1	1	2	1
ZBTB48	411	228	5302	130	29	43	245	198
KLHL21	333	97	3152	77	23	29	147	90
PHF13	800	241	9308	268	52	71	489	406
THAP3	609	318	8491	200	37	75	373	330
DNAJC11	1606	587	20944	600	179	196	888	949
CAMTA1	10033	5430	116974	3970	769	1375	5981	5768
VAMP3	1241	492	13742	381	62	154	692	526
PER3	206	384	4073	163	34	93	190	388
UTS2	8	3	67	13	0	1	1	4
TNFRSF9	0	0	4	1	0	1	0	1
PARK7	29211	8026	295381	7002	1103	2268	15996	9523
ERRFI1	998	419	7182	390	78	134	554	684
SLC45A1	31	28	440	14	3	9	12	29
RERE	3111	8363	32862	5430	1223	2024	2313	8885
ENO1	54664	12029	704853	13268	2223	5927	19399	22460
CA6	0	10	3	5	1	0	0	1
SLC2A7	0	1	3	4	0	0	0	1
SLC2A5	1	5	15	3	0	1	3	0
GPR157	62	51	910	57	10	25	45	57
H6PD	72	159	1229	95	22	30	87	109
SPSB1	152	78	1208	87	8	23	65	77
SLC25A33	2039	1063	22719	756	120	233	1196	1075
TMEM201	390	120	4872	82	16	34	174	119
PIK3CD	221	38	2538	41	8	18	68	118
CLSTN1	1513	1269	16917	715	185	364	931	1226
CTNNBIP1	2752	1215	28429	1230	231	378	1615	1586
LZIC	1744	1181	20362	671	157	322	1036	1074
NMNAT1	61	198	1473	80	16	38	35	127
RBP7	622	20	8663	59	10	21	261	101
UBE4B	1431	1186	16583	995	184	352	858	1531
KIF1B	2851	4799	28123	1936	515	920	1581	3651
PGD	6282	1830	76282	1555	275	517	3520	2676
CENPS	1088	629	14915	408	93	174	516	659
CORT	3	90	85	30	5	18	4	54
DFFA	6145	822	80827	1009	169	340	3369	1756
PEX14	543	697	8365	577	116	213	360	860
CASZ1	115	661	1011	138	82	122	36	386
C1orf127	0	4	19	3	0	2	2	6
TARDBP	2863	1363	37995	1163	193	478	1866	1964
MASP2	9	20	117	8	3	2	4	34
SRM	19684	2034	218336	2486	399	799	9939	3724
EXOSC10	1889	557	22413	499	103	183	991	676
MTOR	1541	707	17694	581	130	187	890	850
ANGPTL7	1	8	14	7	1	1	0	7
UBIAD1	907	197	12495	234	42	71	505	306
DISP3	64	114	592	52	9	20	39	65
FBXO2	7372	174	99313	654	101	226	2886	1541
FBXO44	589	110	8673	99	18	40	296	183
FBXO6	52	45	623	45	14	16	25	60
MAD2L2	14018	1680	179149	2366	464	750	8340	4119
DRAXIN	2268	681	22127	541	97	182	1247	949
AGTRAP	5289	978	71680	1332	194	432	3257	1623
C1orf167	71	6	535	16	3	4	77	18
MTHFR	382	184	4575	127	24	40	249	204
CLCN6	247	295	3917	192	37	65	146	269
NPPA	2	6	5	6	1	1	0	21
NPPB	159	5	986	42	0	17	52	6
KIAA2013	1778	279	21852	277	63	97	849	479
PLOD1	657	222	13341	239	40	71	458	332
MFN2	721	252	9218	185	37	75	363	304
MIIP	2766	565	37364	469	83	173	1527	794
TNFRSF8	333	16	3351	95	31	47	208	173
TNFRSF1B	52	34	431	19	6	2	20	25
VPS13D	567	716	7182	550	146	203	283	835
DHRS3	1269	50	18789	224	38	40	533	258
AADACL4	1	0	1	0	0	0	0	0
AADACL3	58	0	205	2	0	0	3	31
C1orf158	5	25	27	4	0	2	2	5
PRAMEF12	2	0	9	0	0	0	0	0
PRAMEF1	1	0	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0	0	0
HNRNPCL1	6	1	42	0	0	0	2	0
PRAMEF2	0	0	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0	0	0
HNRNPCL3	0	0	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0	0	0
HNRNPCL2	0	0	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0	0	0
HNRNPCL4	0	0	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0	0	0
