motif	observed	background	percent.observed	percent.background	fold.enrichment	pvalue	p.adjust	motif_name
Tcfap2a_1	9720	3235	12.0179527442229	3.99980217361738	3.00463678516229	0	0	Tcfap2a
Tcfap2b_2	8724	3382	10.7864835124074	4.18155516265038	2.57953873447664	0	0	Tcfap2b
Tcfap2c_3	10075	3311	12.4568800306631	4.09376970536233	3.04288734521293	0	0	Tcfap2c
Tcfap2e_4	8098	3192	10.0124877904029	3.946636333288	2.53696741854637	0	0	Tcfap2e
Tcfap2d_5	10567	3043	13.0651961572225	3.76241051447224	3.47255997371015	0	0	Tcfap2d
Arid3b_6	5538	2143	6.84726566846771	2.64963711222938	2.58422771815212	0	0	Arid3b
Arid3a_7	8938	3155	11.0510762991629	3.9008889823069	2.83296354992076	0	0	Arid3a
Arid5b_8	1315	741	1.62588558216595	0.916183434513285	1.77462887989204	8.07407762579685e-38	8.10157164722408e-38	Arid5b
Arid5a_9	4430	1691	5.47731796881762	2.09077758132519	2.61975162625665	9.40009141316257e-289	1.2963620607232e-288	Arid5a
Arid3c_10	8758	3214	10.8285216187144	3.97383746089838	2.72495332918482	0	0	Arid3c
Arid2_11	4465	1659	5.52059249001595	2.051212304801	2.6913803496082	2.46674616618525e-303	3.45579019161293e-303	Arid2
Setbp1_12	622	226	0.769050062438952	0.279429765452095	2.75221238938053	5.17938825140968e-44	5.20885007309006e-44	Setbp1
Ahctf1_13	19191	5474	23.7280381804918	6.76813511541933	3.5058458165875	0	0	Ahctf1
Hmga2_14	2456	1134	3.03663497323162	1.402094486826	2.1657848324515	6.06915322153215e-113	6.40995394006502e-113	Hmga2
Phf21a_15	6503	2465	8.04040603865033	3.04776270725405	2.63813387423935	0	0	Phf21a
Zfp957_16	3126	1098	3.86503295045686	1.35758355073629	2.84699453551913	1.79636839509492e-228	2.25566713247714e-228	Zfp957
Tcfe3_17	3432	1024	4.24337590721943	1.26608884877409	3.3515625	1.1657642721355e-308	1.63577081994887e-308	Tcfe3
Mnt_18	2699	897	3.33708379183719	1.10906415756871	3.00891861761427	4.52951767828163e-212	5.56124114944578e-212	Mnt
Npas1_19	1768	426	2.18598152796152	0.526712743728285	4.15023474178404	3.45543455987889e-196	4.10013979990998e-196	Npas1
Tcfap4_20	10071	3731	12.4519343710976	4.61306395974233	2.69927633342268	0	0	Tcfap4
Twist2_21	4815	1810	5.95333770199928	2.23791095339952	2.66022099447514	0	0	Twist2
Id3_22	9781	3976	12.0933740525971	4.91598560813066	2.46001006036217	0	0	Id3
Ascl2_23	11643	5237	14.3955785803484	6.47510478616204	2.22321940042009	0	0	Ascl2
Myod1_24	16141	7347	19.9569727617799	9.08394020697585	2.19695113651831	0	0	Myod1
Arnt_25	3707	1097	4.58339000234919	1.3563471358449	3.3792160437557	0	0	Arnt
