motif	observed	background	percent.observed	percent.background	fold.enrichment	pvalue	p.adjust	motif_name
Tcfap2a_1	7289	10200	3.51666907897911	4.92111738312346	0.714607843137255	1	1	Tcfap2a
Tcfap2b_2	5860	10875	2.82723018285328	5.24677956288899	0.538850574712644	1	1	Tcfap2b
Tcfap2c_3	8047	10583	3.88237564529358	5.10590051623486	0.760370405367098	1	1	Tcfap2c
Tcfap2e_4	5009	10219	2.41665460510445	4.93028417040575	0.490165378217047	1	1	Tcfap2e
Tcfap2d_5	9252	9540	4.46374294398611	4.60269214068606	0.969811320754717	0.984524525065849	1	Tcfap2d
Arid3b_6	6821	5465	3.29087663434168	2.63665749987938	1.24812442817932	9.92103469705829e-36	1.68657589849991e-34	Arid3b
Arid3a_7	10531	8207	5.0808124668307	3.95956964346022	1.28317290118192	5.03590443591304e-68	1.11293488033678e-66	Arid3a
Arid5b_8	892	2425	0.430356539779032	1.16997153471318	0.367835051546392	1	1	Arid5b
Arid5a_9	4517	5083	2.17928306074203	2.45235682925653	0.888648435963014	0.999999997639649	1	Arid5a
Arid3c_10	7938	10110	3.82978723404255	4.87769575915473	0.785163204747774	1	1	Arid3c
Arid2_11	4176	4521	2.01476335214937	2.18121291069619	0.923689449236894	0.999911632652354	1	Arid2
Setbp1_12	340	821	0.164037246104115	0.396101703092585	0.414129110840438	1	1	Setbp1
Ahctf1_13	16670	16546	8.04264968398707	7.98282433540792	1.00749425843104	0.240820114733468	1	Ahctf1
Hmga2_14	1962	3801	0.946591402518454	1.8338399189463	0.516179952644041	1	1	Hmga2
Phf21a_15	8313	6814	4.01071066724562	3.28749939692189	1.21998825946581	1.04479785048391e-35	1.7426439619392e-34	Phf21a
Zfp957_16	3022	3834	1.45800164037246	1.84976118106817	0.788210745957225	1	1	Zfp957
Tcfe3_17	2729	3384	1.3166401312298	1.63265306122449	0.80644208037825	1	1	Tcfe3
Mnt_18	1709	3089	0.824528392917451	1.49032662710474	0.553253480090644	1	1	Mnt
Npas1_19	1235	1600	0.595841173348772	0.771939981666425	0.771875	0.999999999997524	1	Npas1
Tcfap4_20	6315	12150	3.04675061513967	5.86191923577942	0.519753086419753	1	1	Tcfap4
Twist2_21	3568	5903	1.72142615911613	2.84797606986057	0.604438421141792	1	1	Twist2
Id3_22	5595	13889	2.69937762338978	6.70092150335311	0.402836777305782	1	1	Id3
Ascl2_23	10317	15358	4.97756549428282	7.4096588990206	0.671767157181925	1	1	Ascl2
Myod1_24	13998	22225	6.75350991460414	10.7227288078352	0.629831271091114	1	1	Myod1
Arnt_25	2552	3695	1.23124427075795	1.7826988951609	0.690663058186739	1	1	Arnt
Arnt2_26	3811	6952	1.83866454383172	3.35407922034062	0.548187571921749	1	1	Arnt2
Mlx_27	3014	3979	1.45414194046413	1.91971824190669	0.757476752953003	1	1	Mlx
Ahr_28	3335	4252	1.60901239928596	2.05143050127853	0.784336782690499	1	1	Ahr
Hey2_29	2270	3550	1.09518984898924	1.71274183432238	0.63943661971831	1	1	Hey2
Sim1_30	1235	1600	0.595841173348772	0.771939981666425	0.771875	0.999999999997524	1	Sim1
Tcf3_31	4645	11159	2.24103825927534	5.38379890963478	0.41625593691191	1	1	Tcf3
Srebf1_32	2017	3681	0.973126839388238	1.77594442032132	0.547948926922032	1	1	Srebf1
Id2_33	3521	4995	1.69875042215468	2.40990013026487	0.704904904904905	1	1	Id2
Npas3_34	1235	1600	0.595841173348772	0.771939981666425	0.771875	0.999999999997524	1	Npas3
