motif	observed	background	percent.observed	percent.background	fold.enrichment	pvalue	p.adjust	motif_name
Tcfap2a_1	13010	6796	6.81812226502109	3.56156486649372	1.91436138905238	0	0	Tcfap2a
Tcfap2b_2	11500	7016	6.02677986531457	3.67685978565626	1.63911060433295	1.00657700723375e-252	1.72111039534746e-252	Tcfap2b
Tcfap2c_3	13364	6771	7.00364227130991	3.54846317113434	1.97371141633437	0	0	Tcfap2c
Tcfap2e_4	10691	6478	5.60280900348505	3.39491130152242	1.65035504785428	6.68880328051696e-240	1.10109908751899e-239	Tcfap2e
Tcfap2d_5	13421	6809	7.03351413672929	3.5683777480806	1.97106770450874	0	0	Tcfap2d
Arid3b_6	7744	4783	4.05838115452139	2.50661635615649	1.61906753083839	4.94032463321969e-161	6.7085207001017e-161	Arid3b
Arid3a_7	13759	6689	7.2106490579881	3.50548961035558	2.05695918672447	0	0	Arid3a
Arid5b_8	1829	820	0.958520032492204	0.429735607787648	2.23048780487805	1.9849548196965e-88	2.38410334322243e-88	Arid5b
Arid5a_9	6987	3366	3.66166181903938	1.76401226318686	2.07575757575758	4.25610727701915e-291	8.28722209886547e-291	Arid5a
Arid3c_10	12126	6814	6.35484631711343	3.57099808715248	1.77957147050191	0	0	Arid3c
Arid2_11	5995	3401	3.14178654717921	1.78235463668999	1.76271684798589	6.64707217504328e-164	9.06791944867015e-164	Arid2
Setbp1_12	631	406	0.330686790870739	0.212771532636323	1.55418719211823	1.35145962802866e-12	1.44810946809374e-12	Setbp1
Ahctf1_13	21022	11628	11.016953593795	6.09386054555459	1.8078775369797	0	0	Ahctf1
Hmga2_14	3282	2782	1.71999056677934	1.45795665959175	1.17972681524083	5.13195023287378e-11	5.45269712242839e-11	Hmga2
Phf21a_15	9985	5351	5.23281712653617	2.80428687472159	1.86600635395253	0	0	Phf21a
Zfp957_16	5056	2579	2.64968686948091	1.35157089327359	1.96044978673905	1.07586079928423e-183	1.55148604660238e-183	Zfp957
Tcfe3_17	4740	1990	2.48408144013835	1.04289495060661	2.38190954773869	3.8488710255446e-258	6.69764170586895e-258	Tcfe3
Mnt_18	3964	1749	2.07740481618321	0.91659460734219	2.26643796455117	1.03828111856836e-196	1.54000085371549e-196	Mnt
Npas1_19	2329	799	1.22055393967979	0.418730183685769	2.91489361702128	2.25290691694841e-173	3.15121790282025e-173	Npas1
Tcfap4_20	14234	8249	7.45958126981631	4.32303540078086	1.72554248999879	0	0	Tcfap4
Twist2_21	6682	3877	3.50182113565495	2.03181091633257	1.72349754965179	8.11850217329364e-171	1.13019778286481e-170	Twist2
Id3_22	12415	9377	6.50630191546786	4.91418389539606	1.32398421670044	3.17279441107792e-100	3.89008357752133e-100	Id3
Ascl2_23	17112	11254	8.96784843958808	5.89785918297828	1.52052603518749	2.81347644601832e-288	5.41854722936861e-288	Ascl2
Myod1_24	23459	15983	12.2941068574273	8.3761758771585	1.46774698116749	0	0	Myod1
Arnt_25	4998	2152	2.61929093624715	1.12779393653539	2.3224907063197	4.19263040825312e-260	7.33917877405101e-260	Arnt
Arnt2_26	7524	4249	3.94308623535886	2.22676414328014	1.77076959284538	3.03334027709144e-209	4.59943877349713e-209	Arnt2
Mlx_27	5723	2314	2.99924010166916	1.21269292246417	2.47320656871219	0	0	Mlx
Ahr_28	6106	2642	3.19995807457485	1.38458716557923	2.3111279333838	1.13545313969931e-315	2.35619853636666e-315	Ahr
Hey2_29	4701	2143	2.46364279537772	1.12307732620601	2.19365375641624	5.67898445363095e-219	8.83841946656647e-219	Hey2
