motif	observed	background	percent.observed	percent.background	fold.enrichment	pvalue	p.adjust	motif_name
Tcfap2a_1	5989	5860	4.59472937205109	4.49576124899306	1.02201365187713	0.114377786405044	0.286430490600734	Tcfap2a
Tcfap2b_2	4784	6358	3.67025969542368	4.87782423568223	0.75243787354514	1	1	Tcfap2b
Tcfap2c_3	6527	6366	5.00748014883578	4.88396179370133	1.02529060634621	0.0741859245067099	0.189538604809051	Tcfap2c
Tcfap2e_4	4024	6020	3.08719168360888	4.61851240937512	0.66843853820598	1	1	Tcfap2e
Tcfap2d_5	7989	5306	6.12911887682688	4.07073535617016	1.50565397663023	4.10199724271709e-127	1.00726821182275e-125	Tcfap2d
Arid3b_6	4950	3206	3.79761402432007	2.45962637615559	1.54398003742982	1.52068493585305e-86	2.53638770432848e-85	Arid3b
Arid3a_7	7752	5398	5.94729372051095	4.14131727338985	1.43608743979252	3.15382102706581e-99	5.80828705817953e-98	Arid3a
Arid5b_8	634	1425	0.486401473013925	1.09325252215275	0.444912280701754	1	1	Arid5b
Arid5a_9	3930	2934	3.01507537688442	2.25094940350608	1.33946830265849	1.71799281752914e-34	1.15931729060745e-33	Arid5a
Arid3c_10	5579	6164	4.28017952357206	4.72898845371898	0.905094094743673	0.9999999844188	1	Arid3c
Arid2_11	2824	3112	2.16655798074341	2.38751006943113	0.907455012853471	0.999926227310799	1	Arid2
Setbp1_12	292	499	0.224020867697265	0.382830181441559	0.585170340681363	0.999999999999953	1	Setbp1
Ahctf1_13	13800	9780	10.5872875829529	7.5031646783536	1.41104294478528	7.82759273100006e-167	2.88316332258502e-165	Ahctf1
Hmga2_14	1232	2622	0.945183934941885	2.01158464076106	0.469870327993898	1	1	Hmga2
Phf21a_15	6816	4071	5.22919943227588	3.12324983697112	1.67428150331614	6.50281640004175e-161	2.29939587905476e-159	Phf21a
Zfp957_16	2005	2560	1.53822547853773	1.96401856611301	0.783203125	1	1	Zfp957
Tcfe3_17	2408	1880	1.84740496375005	1.44232613448924	1.28085106382979	2.2390826513693e-16	1.04727463693675e-15	Tcfe3
Mnt_18	1712	1717	1.31343741608807	1.31727338985001	0.997087944088526	0.541074581002854	1	Mnt
Npas1_19	1098	809	0.842379838121907	0.620660554681806	1.35723114956737	1.66037973397864e-11	6.35400729366717e-11	Npas1
Tcfap4_20	5825	6718	4.46890943265948	5.15401434654187	0.867073533789819	1	1	Tcfap4
Twist2_21	3397	3318	2.60616057386168	2.54555218842303	1.02380952380952	0.167433431107942	0.408870588672433	Twist2
Id3_22	3788	8394	2.90613372204534	6.43983275154398	0.451274720038123	1	1	Id3
Ascl2_23	8598	8901	6.59634048103111	6.82880049100464	0.965958881024604	0.991329104702877	1	Ascl2
Myod1_24	11377	12713	8.72837469791707	9.75334688710729	0.894910721308896	1	1	Myod1
Arnt_25	1983	2244	1.52134719398519	1.72158502435843	0.883689839572193	0.999975890216727	1	Arnt
Arnt2_26	2802	4020	2.14967969619088	3.08412290459933	0.697014925373134	1	1	Arnt2
Mlx_27	2658	2216	2.03920365184702	1.70010357129157	1.19945848375451	8.80541089409476e-11	3.32648855999135e-10	Mlx
Ahr_28	2926	2406	2.24481184548698	1.84587057424527	1.21612635078969	3.31454295466741e-13	1.39526474853619e-12	Ahr
Hey2_29	1910	1962	1.46534197706088	1.50523610418505	0.973496432212029	0.804590843006827	1	Hey2
Sim1_30	1098	809	0.842379838121907	0.620660554681806	1.35723114956737	1.66037973397864e-11	6.35400729366717e-11	Sim1
Tcf3_31	3597	6601	2.75959952433925	5.06425256051249	0.544917436752007	1	1	Tcf3
Srebf1_32	1752	2095	1.34412520618359	1.60727300625264	0.836276849642005	0.999999988722491	1	Srebf1
Id2_33	1806	2817	1.38555372281254	2.1611876174767	0.641107561235357	1	1	Id2
Npas3_34	1098	809	0.842379838121907	0.620660554681806	1.35723114956737	1.66037973397864e-11	6.35400729366717e-11	Npas3
Id4_35	3788	8394	2.90613372204534	6.43983275154398	0.451274720038123	1	1	Id4
Ahrr_36	2926	2406	2.24481184548698	1.84587057424527	1.21612635078969	3.31454295466741e-13	1.39526474853619e-12	Ahrr
Myc_37	4357	7358	3.34266753615405	5.64501898807012	0.592144604512096	1	1	Myc
Srebf2_38	1243	871	0.953623077218152	0.668226629329855	1.42709529276693	2.28358666524591e-16	1.06246874319862e-15	Srebf2
Hes1_39	2202	1014	1.68936284475814	0.777935478921324	2.17159763313609	4.63668478072086e-101	8.9104985786027e-100	Hes1
Hes7_40	2180	712	1.67248456020561	0.54624266370018	3.06179775280899	9.95538022934652e-174	3.8263287490184e-172	Hes7
Tcfeb_41	2382	1780	1.82745790018796	1.36560665925045	1.33820224719101	2.54922703145175e-21	1.31784602093763e-20	Tcfeb
Bhlhe22_42	1992	2201	1.52825194675668	1.68859565000575	0.905043162199	0.999462422605434	1	Bhlhe22
Msc_43	2381	1410	1.82669070543557	1.08174460086693	1.6886524822695	1.27311662773318e-57	1.30864546385597e-56	Msc
Npas2_44	2188	2610	1.67862211822471	2.0023783037324	0.838314176245211	0.999999999653248	1	Npas2
Myog_45	12170	11357	9.33676013656067	8.71303080286931	1.07158580611077	1.42246165114876e-08	4.81783946212836e-08	Myog
Usf1_46	2862	2055	2.19571138133415	1.57658521615712	1.39270072992701	1.45261033588987e-31	9.23818371889672e-31	Usf1
Ptf1a_47	7818	9696	5.99792857416855	7.43872031915302	0.806311881188119	1	1	Ptf1a
Sohlh2_48	2225	1303	1.70700832406306	0.999654762361425	1.70759785111282	7.42557206874292e-56	7.37551203232442e-55	Sohlh2
Neurog2_49	1753	1809	1.34489240093598	1.3878553070697	0.969043670536208	0.831885949897672	1	Neurog2
Mycl1_50	2113	2426	1.62108251179562	1.86121446929303	0.870981038746908	0.999998721664321	1	Mycl1
Hes2_51	1872	1984	1.43618857647014	1.52211438873758	0.943548387096774	0.966631628701184	1	Hes2
Clock_52	1372	1452	1.05259120027619	1.11396678046722	0.944903581267218	0.937315349184022	1	Clock
Tcfec_53	2497	1994	1.91568529671257	1.52978633626146	1.25225677031093	1.95625735796577e-14	8.56104705169178e-14	Tcfec
Figla_54	4562	6723	3.49994246039357	5.15785032030381	0.67856611631712	1	1	Figla
Bhlhe40_55	1689	1611	1.29579193678315	1.2359507460969	1.04841713221601	0.0886700205888432	0.225242236208441	Bhlhe40
Bhlhe41_56	1503	1400	1.153093712839	1.07407265334305	1.07357142857143	0.0284626895864511	0.0748839809357821	Bhlhe41
Mesp2_57	3660	6956	2.80793279373969	5.33660669761019	0.526164462334675	1	1	Mesp2
Mesp1_58	3660	6956	2.80793279373969	5.33660669761019	0.526164462334675	1	1	Mesp1
Tcf12_59	4113	8703	3.15547201657141	6.67689593003184	0.472595656670114	1	1	Tcf12
Heyl_60	1910	1962	1.46534197706088	1.50523610418505	0.973496432212029	0.804590843006827	1	Heyl
Scx_61	5643	6672	4.32927998772488	5.11872338793203	0.845773381294964	1	1	Scx
Mitf_62	2463	1981	1.88960067513138	1.51981280448042	1.24331145885916	1.61385086256693e-13	6.85886616590946e-13	Mitf
Myf6_63	4816	6557	3.6948099275001	5.03049599140742	0.734482232728382	1	1	Myf6
Atoh7_64	2073	2230	1.5903947217001	1.710844297825	0.929596412556054	0.992429495036109	1	Atoh7
Mycn_65	2113	2426	1.62108251179562	1.86121446929303	0.870981038746908	0.999998721664321	1	Mycn
Hand1_66	6664	5747	5.11258582991292	4.40906824197322	1.15956151035323	1.74498423827254e-17	8.38351123170066e-17	Hand1
Atoh8_67	5420	10015	4.15819555794238	7.68345544516476	0.54118821767349	1	1	Atoh8
Hand2_68	6664	5747	5.11258582991292	4.40906824197322	1.15956151035323	1.74498423827254e-17	8.38351123170066e-17	Hand2
Neurod2_69	1157	1418	0.887644328512793	1.08788215888603	0.815937940761636	0.999999896589103	1	Neurod2
Mlxip_70	1528	2210	1.1722735816487	1.69550040277725	0.691402714932127	1	1	Mlxip
Tcfl5_71	2880	902	2.20952088687713	0.69200966665388	3.19290465631929	6.90676834612762e-242	4.69660247536678e-240	Tcfl5
Olig2_72	1628	1607	1.24899305688749	1.23288196708735	1.0130678282514	0.361733092423067	0.852725476538643	Olig2
Hey1_73	1910	1962	1.46534197706088	1.50523610418505	0.973496432212029	0.804590843006827	1	Hey1
Id1_74	1806	2817	1.38555372281254	2.1611876174767	0.641107561235357	1	1	Id1
Neurog3_75	1753	1809	1.34489240093598	1.3878553070697	0.969043670536208	0.831885949897672	1	Neurog3
Mycs_76	2113	2426	1.62108251179562	1.86121446929303	0.870981038746908	0.999998721664321	1	Mycs
Bhlhe23_77	1380	1494	1.05872875829529	1.14618896006751	0.923694779116466	0.984508112461278	1	Bhlhe23
Olig3_78	1586	1763	1.2167708772872	1.35256434845986	0.899602949517867	0.999020653752402	1	Olig3
Tcf21_79	6259	4350	4.80187195519583	3.33729717288734	1.43885057471264	1.74226618369953e-80	2.65545397653514e-79	Tcf21
Npas4_80	886	702	0.679734550615674	0.538570716176301	1.26210826210826	2.00218257064695e-06	6.18856430927239e-06	Npas4
Olig1_81	1732	1403	1.32878131113583	1.07637423760021	1.23449750534569	1.83076316269758e-09	6.42220093581213e-09	Olig1
Ferd3l_82	7225	7939	5.54298208600253	6.09075913920749	0.910064239828694	0.999999998910899	1	Ferd3l
Hes5_83	1039	1087	0.797115347731022	0.83394069584564	0.955841766329347	0.857031000537669	1	Hes5
Nhlh2_84	9217	9254	7.07123403275922	7.09962023859757	0.996001728982062	0.614116641245791	1	Nhlh2
Neurog1_85	1712	1790	1.31343741608807	1.37327860677433	0.956424581005587	0.91053315987311	1	Neurog1
Nhlh1_86	7049	7368	5.40795580958226	5.652690935594	0.956704668838219	0.996947473564975	1	Nhlh1
Bhlha15_87	2019	3332	1.54896620507116	2.55629291495646	0.60594237695078	1	1	Bhlha15
Tcf4_88	4350	7445	3.33729717288734	5.71176493152787	0.58428475486904	1	1	Tcf4
Arntl_89	2450	2075	1.87962714335034	1.59192911120488	1.18072289156627	1.001301773223e-08	3.4175705310005e-08	Arntl
Ebf1_90	6187	6872	4.7466339330239	5.27216233840961	0.900320139697322	0.999999999637595	1	Ebf1
Max_91	1790	2331	1.37327860677433	1.78833096781618	0.767910767910768	1	1	Max
Sim2_92	1098	809	0.842379838121907	0.620660554681806	1.35723114956737	1.66037973397864e-11	6.35400729366717e-11	Sim2
Tcf15_93	5643	6672	4.32927998772488	5.11872338793203	0.845773381294964	1	1	Tcf15
Atoh1_94	2111	1776	1.61954812229084	1.3625378802409	1.18862612612613	3.31766707314191e-08	1.0902668002444e-07	Atoh1
Usf2_95	2645	2208	2.02923012006598	1.69396601327247	1.19791666666667	1.29250779074382e-10	4.84142748736245e-10	Usf2
Mga_96	3287	5503	2.52176915109901	4.22187272239058	0.597310557877521	1	1	Mga
Cebpd_97	1138	833	0.873067628217423	0.639073228739115	1.36614645858343	2.85191552595084e-12	1.14285725895298e-11	Cebpd
Fosb_98	7086	6685	5.43634201542061	5.12869691971307	1.05998504113687	0.000230382842883524	0.000669929056279721	Fosb
Hlf_99	837	730	0.642142007748667	0.560052169243162	1.14657534246575	0.00360786012015149	0.00984366773522815	Hlf
Atf6b_100	1333	1011	1.02267060493306	0.775633894664161	1.31849653808111	1.27592031292165e-11	4.99076794965813e-11	Atf6b
Nfe2l2_101	6415	8195	4.92155433656834	6.28716099581879	0.782794386821232	1	1	Nfe2l2
Mafk_102	5069	4391	3.88891019985423	3.36875215773524	1.15440674106126	6.55020104280369e-13	2.71848719335139e-12	Mafk
Xbp1_103	1626	1007	1.24745866738272	0.772565115654609	1.61469712015889	2.51249718431413e-34	1.67018982952868e-33	Xbp1
Fos_104	8122	7618	6.23115577889447	5.84448962369097	1.06615909687582	1.76403814411937e-05	5.32221747236016e-05	Fos
Tef_105	997	1073	0.76489316813073	0.82319996931221	0.929170549860205	0.955368334381959	1	Tef
Atf1_106	1588	699	1.21830526679198	0.536269131919138	2.27181688125894	6.17214628299241e-80	9.09362885694215e-79	Atf1
Fosl1_107	3463	2879	2.65679542751928	2.20875369212475	1.20284821118444	6.01417111776332e-14	2.59342793565989e-13	Fosl1
Bach1_108	6455	6322	4.95224212666385	4.85020522459626	1.02103764631446	0.115557147853349	0.288566437012317	Bach1
Creb1_109	2071	1073	1.58886033219533	0.82319996931221	1.93010251630941	4.52833099582444e-73	5.80151391349102e-72	Creb1
Atf3_110	1324	1381	1.01576585216157	1.05949595304768	0.958725561187545	0.868859948284299	1	Atf3
Atf6_111	1333	1011	1.02267060493306	0.775633894664161	1.31849653808111	1.27592031292165e-11	4.99076794965813e-11	Atf6
Atf2_112	2349	1748	1.80214047335916	1.34105642717404	1.34382151029748	1.46838244740959e-21	7.68076972491168e-21	Atf2
Fosl2_113	1335	2070	1.02420499443784	1.58809313744294	0.644927536231884	1	1	Fosl2
Jdp2_114	1840	1210	1.41163834439372	0.928305650389351	1.52066115702479	6.82423575041474e-31	4.27845702366428e-30	Jdp2
Cebpa_115	496	609	0.380528597184395	0.467221604204227	0.814449917898194	0.999708631422052	1	Cebpa
Creb3l3_116	3157	2559	2.42203383328858	1.96325137136062	1.2336850332161	6.6697417785352e-16	3.02361627293596e-15	Creb3l3
Nfe2l1_117	3090	3818	2.37063178487859	2.92914956461698	0.809324253535883	1	1	Nfe2l1
Creb3l2_118	2239	2152	1.71774905059649	1.65100310713875	1.04042750929368	0.09528172629964	0.241343971486767	Creb3l2
Bach2_119	5012	5625	3.84518009896812	4.3154704821819	0.891022222222222	0.999999999399823	1	Bach2
Nrl_120	4979	5144	3.81986267213932	3.94644980628333	0.967923794712286	0.953803322017182	1	Nrl
Atf4_121	636	689	0.4879358625187	0.528597184395259	0.923076923076923	0.9315441848201	1	Atf4
Crebzf_122	114	276	0.0874602017722199	0.211745751659059	0.41304347826087	1	1	Crebzf
Mafg_123	4848	5016	3.71936015957651	3.84824887797767	0.966507177033493	0.958609579777904	1	Mafg
Atf7_124	2427	1887	1.86198166404542	1.44769649775596	1.28616852146264	5.87717450884988e-17	2.77830067691085e-16	Atf7
Cebpe_125	506	200	0.388200544708274	0.153438950477579	2.53	7.64952007797335e-32	4.90012735429597e-31	Cebpe
Jun_126	2138	1777	1.64026238060532	1.36330507499329	1.20315137872819	3.2926650762946e-09	1.1414572264488e-08	Jun
Junb_127	3971	4433	3.04653036173233	3.40097433733553	0.895781637717122	0.999999859065483	1	Junb
X9430076C15Rik_128	3196	2248	2.45195442863171	1.72465380336799	1.42170818505338	5.8670299147395e-39	4.54952144265765e-38	X9430076C15Rik
Cebpg_129	1361	1302	1.04415205799992	0.998887567609038	1.04531490015361	0.129294440912583	0.320934931099588	Cebpg
Cebpb_130	1138	833	0.873067628217423	0.639073228739115	1.36614645858343	2.85191552595084e-12	1.14285725895298e-11	Cebpb
Nfil3_131	1026	1020	0.787141815949979	0.782538647435652	1.00588235294118	0.455819523580173	1	Nfil3
Nfe2_132	7219	8900	5.5383789174882	6.82803329625225	0.811123595505618	1	1	Nfe2
Dbp_133	2145	1568	1.64563274387203	1.20296137174422	1.36798469387755	7.16830906806097e-22	3.8173404916662e-21	Dbp
Crem_134	1697	771	1.30192949480226	0.591507154091066	2.20103761348898	2.85877516683676e-80	4.28331736861643e-79	Crem
Jund_135	4737	4650	3.63420154206145	3.56745559860371	1.01870967741935	0.182981527318335	0.444383709201672	Jund
Mafb_136	5028	6090	3.85745521500633	4.67221604204227	0.825615763546798	1	1	Mafb
Nfil3_137	528	1115	0.405078829260808	0.855422148912501	0.473542600896861	1	1	Nfil3
Nfil3_138	1982	1632	1.52057999923281	1.25206183589704	1.21446078431373	2.45170871715942e-09	8.56644468762422e-09	Nfil3
Zeb1_139	4677	9300	3.58816985691818	7.13491119720741	0.502903225806452	1	1	Zeb1
Zscan4_140	3344	4227	2.56549925198512	3.24293221834363	0.791104802460374	1	1	Zscan4
Bcl6b_141	9148	8218	7.01829759484445	6.30480647512371	1.1131662204916	1.4555320427872e-13	6.21589529383517e-13	Bcl6b
Sp1_142	12079	5720	9.26694541409337	4.38835398365875	2.11171328671329	0	0	Sp1
Klf4_143	16188	18591	12.4193486516552	14.2629176416433	0.870743908342747	1	1	Klf4
Plag1_144	7648	8442	5.86750546626261	6.4766580996586	0.905946458185264	0.999999999951478	1	Plag1
Klf5_145	22020	23262	16.8936284475814	17.8464843300472	0.94660820221821	0.999999999934631	1	Klf5
Ctcf_146	19639	14234	15.0669377421458	10.9202501054893	1.37972460306309	1.34359508665468e-218	6.59854475890411e-217	Ctcf
Snai3_147	6058	5508	4.64766580996586	4.22570869615252	1.0998547567175	8.80794414454921e-08	2.84168708897135e-07	Snai3
Glis2_148	2621	3032	2.01081744600867	2.32613448924009	0.864445910290237	0.999999985085251	1	Glis2
Ikzf1_149	4247	4568	3.25827611339138	3.5045456289079	0.929728546409807	0.999757993904427	1	Ikzf1
Sp2_150	22701	21172	17.4160880739576	16.2430472975565	1.07221802380503	6.23356072957227e-16	2.8700352525739e-15	Sp2
Zbtb4_151	3944	2941	3.02581610341785	2.2563197667728	1.34104046242775	7.46708145147069e-35	5.07761538700007e-34	Zbtb4
Plagl1_152	3408	4944	2.61459971613794	3.79301085580575	0.689320388349515	1	1	Plagl1
Patz1_153	12562	15773	9.63750047949672	12.1009628294142	0.796424269320992	1	1	Patz1
Yy1_154	5958	8134	4.57094633472707	6.24036211592313	0.732480944184903	1	1	Yy1
Gli3_155	6233	9815	4.78192489163374	7.53001649468718	0.635048395313296	1	1	Gli3
Zkscan3_156	2857	3919	2.19187540757221	3.00663623460815	0.729012503189589	1	1	Zkscan3
Hivep1_157	5968	7194	4.57861828225095	5.51919904867851	0.829580205726995	1	1	Hivep1
Zfp369_158	7512	8313	5.76316697993786	6.37768997660056	0.903644893540238	0.999999999976384	1	Zfp369
Fezf2_159	4995	5657	3.83213778817753	4.34002071425831	0.882976842849567	0.999999999973326	1	Fezf2
Zfp187_160	674	1033	0.51708926310944	0.792512179216694	0.652468538238141	1	1	Zfp187
Osr2_161	2071	3448	1.58886033219533	2.64528750623346	0.600638051044084	1	1	Osr2
Bcl6_162	9442	8318	7.24385285204649	6.3815259503625	1.13512863669151	1.25116143394399e-18	6.21363318880049e-18	Bcl6
Zfp263_163	4482	4346	3.43856688020254	3.33422839387779	1.03129314312011	0.0718980761609107	0.184225795148536	Zfp263
Zscan10_164	5112	5526	3.92189957420691	4.2395182016955	0.925081433224756	0.999980113862282	1	Zscan10
Zfp523_165	8758	8303	6.71909164141317	6.37001802907668	1.05479947007106	0.00016181186362746	0.000473647971677729	Zfp523
Ovol1_166	3012	3410	2.31079059419234	2.61613410564272	0.883284457478006	0.999999770802173	1	Ovol1
Sp4_167	12267	10063	9.41117802754229	7.72028079327937	1.21902017291066	5.22422589295408e-54	5.13135076596823e-53	Sp4
Zfp711_168	2668	2799	2.0468755993709	2.14737811193371	0.953197570560914	0.964410211172595	1	Zfp711
Zfp202_169	4979	5766	3.81986267213932	4.42364494226859	0.863510232396809	0.999999999999996	1	Zfp202
Zfp282_170	4581	4783	3.51451916068894	3.6694925006713	0.957767091783399	0.983684408904841	1	Zfp282
Klf7_171	11754	9514	9.0176071195673	7.29909087421842	1.23544250578095	3.70356440905438e-58	3.89756064000485e-57	Klf7
Gfi1b_172	8138	7875	6.24343089493268	6.04165867505466	1.03339682539683	0.016292366094171	0.0436437928098399	Gfi1b
Mecom_173	6053	7212	4.64382983620392	5.53300855422149	0.839295618413755	1	1	Mecom
Zbtb7b_174	4360	3823	3.34496912041122	2.93298553837892	1.14046560292964	8.58448859606331e-10	3.12291683906171e-09	Zbtb7b
Mtf1_175	2255	4237	1.7300241666347	3.25060416586751	0.532216190700968	1	1	Mtf1
Zbtb49_176	2625	2918	2.01388622501822	2.23867428746787	0.899588759424263	0.999967297661013	1	Zbtb49
Fezf1_177	4995	5657	3.83213778817753	4.34002071425831	0.882976842849567	0.999999999973326	1	Fezf1
Zkscan1_178	1307	2755	1.00272354137098	2.11362154282865	0.474410163339383	1	1	Zkscan1
Mzf1_179	3749	3873	2.87621312670221	2.97134527599831	0.967983475342112	0.926915278194245	1	Mzf1
Zfp300_180	2208	3000	1.69396601327247	2.30158425716368	0.736	1	1	Zfp300
Zic1_181	5919	7630	4.54102573938394	5.85369596071963	0.775753604193971	1	1	Zic1
Zbtb1_182	2986	931	2.29084353063025	0.714258314473129	3.20730397422127	3.31580479500095e-252	2.66470130798258e-250	Zbtb1
Egr3_183	6863	5153	5.26525758563811	3.95335455905482	1.33184552687755	7.67695994724565e-58	7.98403834513548e-57	Egr3
Klf9_184	537	386	0.411983582032299	0.296137174421727	1.39119170984456	3.58727135064828e-07	1.13661214120899e-06	Klf9
Glis1_185	2085	2362	1.59960105872876	1.8121140051402	0.88272650296359	0.999987008758685	1	Glis1
Prdm4_186	5009	6208	3.84287851471096	4.76274502282404	0.806862113402062	1	1	Prdm4
Zic4_187	5010	5535	3.84364570946335	4.24642295446699	0.905149051490515	0.99999991530214	1	Zic4
Egr2_188	4670	3543	3.58279949365146	2.71817100771031	1.31809201241885	6.00862947507303e-37	4.42635704663713e-36	Egr2
Prdm1_189	8117	7260	6.22731980513253	5.56983390233611	1.11804407713499	5.48469051228383e-13	2.28701245889571e-12	Prdm1
Egr1_190	7298	4983	5.59898730292685	3.82293145114887	1.46457957053984	2.20299082783977e-102	4.3276530929119e-101	Egr1
Sp6_191	12044	7647	9.24009359775979	5.86673827151022	1.57499673074408	5.73818844231868e-235	3.17034911438107e-233	Sp6
Rreb1_192	18044	20696	13.8432621120872	15.8778625954198	0.871859296482412	1	1	Rreb1
Zfp281_193	13929	15421	10.686255706011	11.8309102765737	0.903248816548862	1	1	Zfp281
Klf8_194	13607	12856	10.4392189957421	9.86305573669876	1.05841630367144	5.74633669407712e-07	1.80133391402985e-06	Klf8
Zic5_195	3167	4010	2.42970578081246	3.07645095707545	0.789775561097257	1	1	Zic5
