motif	observed	background	percent.observed	percent.background	fold.enrichment	pvalue	p.adjust	motif_name
Tcfap2a_1	10037	7913	5.02367438461615	3.96057939677868	1.26841905724757	1.48854984143838e-59	3.93975467015427e-59	Tcfap2a
Tcfap2b_2	9641	8419	4.82547023434137	4.21384025546313	1.1451478797957	6.91947043320479e-21	1.35929152510067e-20	Tcfap2b
Tcfap2c_3	10130	8032	5.07022232899887	4.02014074496732	1.26120517928287	1.58558074845672e-57	4.14690349596373e-57	Tcfap2c
Tcfap2e_4	8240	8356	4.12424797541468	4.18230777701032	0.986117759693633	0.82321156832893	1	Tcfap2e
Tcfap2d_5	12813	6095	6.41310549866362	3.05064216142627	2.10221493027071	0	0	Tcfap2d
Arid3b_6	8268	3941	4.13826241028259	1.97253170765889	2.09794468409033	0	0	Arid3b
Arid3a_7	13338	6761	6.67587615243701	3.38398550507022	1.97278509096288	0	0	Arid3a
Arid5b_8	1131	2609	0.566083065557524	1.30584502037098	0.433499425067076	1	1	Arid5b
Arid5a_9	5062	3915	2.53360961790644	1.95951830385297	1.29297573435504	8.421388663479e-35	1.8846854629153e-34	Arid5a
Arid3c_10	10340	7074	5.17533059050822	3.54064686627226	1.46169069833192	2.63210988597883e-142	1.21821211476717e-141	Arid3c
Arid2_11	4711	4495	2.35792866652652	2.24981731183119	1.04805339265851	0.0116905987712902	0.0161224482274891	Arid2
Setbp1_12	423	987	0.2117180696117	0.494008829093967	0.428571428571429	1	1	Setbp1
Ahctf1_13	24558	7150	12.2916604102225	3.57868604662803	3.43468531468531	0	0	Ahctf1
Hmga2_14	1982	4322	0.992021782435909	2.16322812496872	0.458583988894031	1	1	Hmga2
Phf21a_15	10608	5065	5.3094687528154	2.53511116449943	2.09437314906219	0	0	Phf21a
Zfp957_16	3059	3884	1.5310770093196	1.94400232239206	0.787590113285273	1	1	Zfp957
Tcfe3_17	4141	2435	2.07263481385827	1.21875531797752	1.7006160164271	3.70275377906244e-101	1.34148948388983e-100	Tcfe3
Mnt_18	2998	2453	1.50054556192879	1.22776459753546	1.2221769262128	5.64106284711968e-14	9.93366445588406e-14	Mnt
Npas1_19	1638	1398	0.819844439772966	0.699720712333704	1.17167381974249	6.61498908944164e-06	9.94498359705172e-06	Npas1
Tcfap4_20	9732	9397	4.87101714766209	4.70334444477812	1.03564967542833	0.00666327483743287	0.00926153295014255	Tcfap4
Twist2_21	5087	4911	2.54612250618137	2.45803177272591	1.03583791488495	0.038154130146765	0.0521302180057809	Twist2
Id3_22	14842	8037	7.42865151105639	4.0226433226223	1.84670897100908	0	0	Id3
Ascl2_23	13590	13549	6.80200606624824	6.78148492947736	1.00302605358329	0.400714495549488	0.528703901590668	Ascl2
Myod1_24	21110	18177	10.5658828593451	9.09787080693114	1.16135775980635	4.63486253690228e-55	1.18075460594283e-54	Myod1
Arnt_25	3521	3376	1.76231518464018	1.68974043264562	1.04295023696682	0.040133762898726	0.0547503802507311	Arnt
Arnt2_26	5301	5735	2.65323282981471	2.87045657026738	0.924324324324324	0.999986635637656	1	Arnt2
Mlx_27	5739	3267	2.87245863239136	1.63518423976696	1.75665748393021	4.56733039022318e-155	2.18244327835529e-154	Mlx
Ahr_28	4545	3815	2.27484308838103	1.90946675075328	1.1913499344692	3.7307602255431e-16	6.94314113553706e-16	Ahr
Hey2_29	3489	2948	1.74629868764828	1.47551978537894	1.18351424694708	5.63440962844248e-12	9.61547897981303e-12	Hey2
Sim1_30	1638	1398	0.819844439772966	0.699720712333704	1.17167381974249	6.61498908944164e-06	9.94498359705172e-06	Sim1
Tcf3_31	9550	7115	4.77992332102065	3.56116800304313	1.34223471539002	3.04434383842613e-83	1.00794005736655e-82	Tcf3
Srebf1_32	3657	2934	1.83038529685576	1.46851256794498	1.24642126789366	1.4003294734122e-19	2.72064011977227e-19	Srebf1
Id2_33	4333	2747	2.16873379580968	1.37491616364856	1.57735711685475	1.67068733942857e-81	5.39010075932428e-81	Id2
Npas3_34	1638	1398	0.819844439772966	0.699720712333704	1.17167381974249	6.61498908944164e-06	9.94498359705172e-06	Npas3
Id4_35	14842	8037	7.42865151105639	4.0226433226223	1.84670897100908	0	0	Id4
Ahrr_36	4545	3815	2.27484308838103	1.90946675075328	1.1913499344692	3.7307602255431e-16	6.94314113553706e-16	Ahrr
Myc_37	9917	10213	4.96361252089652	5.11176511807161	0.971017330852835	0.984149114997179	1	Myc
Srebf2_38	2218	983	1.11014344775118	0.492006766969979	2.25635808748728	2.5216154550188e-109	9.4855662222835e-109	Srebf2
Hes1_39	2972	1633	1.48753215812287	0.817341862117982	1.81996325780772	4.67836796828654e-89	1.60297569145942e-88	Hes1
Hes7_40	2887	1114	1.44498833798813	0.557574301530577	2.59156193895871	8.8985349549037e-181	4.94736157241187e-180	Hes7
Tcfeb_41	4186	2333	2.09515801275314	1.16770273381583	1.79425632233176	3.18210102482271e-120	1.30230430830707e-119	Tcfeb
Bhlhe22_42	2956	3688	1.47952390962692	1.84590127831667	0.801518438177874	1	1	Bhlhe22
Msc_43	4000	2491	2.00206212398771	1.24678418771334	1.60578081091931	1.96135072987985e-80	6.28200741019487e-80	Msc
Npas2_44	4222	3701	2.11317657186903	1.85240798021963	1.14077276411781	1.78722553106307e-09	2.91495824623571e-09	Npas2
Myog_45	18652	19232	9.33561568415468	9.6259146921329	0.969841930116472	0.999148044159338	1	Myog
Usf1_46	5030	2803	2.51759312091454	1.40294503338439	1.79450588655012	1.48698336470572e-144	6.95499097566063e-144	Usf1
Ptf1a_47	14548	14431	7.28149994494329	7.22293962781665	1.00810754625459	0.239608905963904	0.31756262799414	Ptf1a
Sohlh2_48	3062	1898	1.53257855591259	0.949978477832167	1.61327713382508	7.32184201745275e-63	2.00387255214496e-62	Sohlh2
Neurog2_49	2260	3102	1.13116510005305	1.55259917715247	0.72856221792392	1	1	Neurog2
Mycl1_50	3944	3982	1.97403325425188	1.99305284442976	0.990457056755399	0.670925695847843	0.864574803395763	Mycl1
Hes2_51	2987	3197	1.49503989108782	1.60014815259718	0.934313418830153	0.996578571138856	1	Hes2
Clock_52	2299	2000	1.15068520576193	1.00103106199385	1.1495	2.42284277886452e-06	3.68639073410712e-06	Clock
Tcfec_53	4240	2918	2.12218585142697	1.46050431944903	1.45305003427005	1.56099845983834e-56	4.04669395453692e-56	Tcfec
Figla_54	14027	6652	7.02073135329389	3.32942931219156	2.10868911605532	0	0	Figla
Bhlhe40_55	2782	2333	1.39243420723345	1.16770273381583	1.19245606515216	1.40948991929189e-10	2.3553668972666e-10	Bhlhe40
Bhlhe41_56	2198	2251	1.10013313713125	1.12666046027408	0.976454908929365	0.79221335497007	1	Bhlhe41
Mesp2_57	11772	8105	5.89206883089582	4.05667837873009	1.45243676742751	6.65817554662726e-158	3.26990399067694e-157	Mesp2
Mesp1_58	11772	8105	5.89206883089582	4.05667837873009	1.45243676742751	6.65817554662726e-158	3.26990399067694e-157	Mesp1
Tcf12_59	11303	8280	5.65732704685826	4.14426859665455	1.36509661835749	2.31328475940461e-109	8.73907575775076e-109	Tcf12
Heyl_60	3489	2948	1.74629868764828	1.47551978537894	1.18351424694708	5.63440962844248e-12	9.61547897981303e-12	Heyl
Scx_61	10587	9522	5.29895792666446	4.76590888615274	1.11184625078765	6.74436316719173e-15	1.20688604044484e-14	Scx
Mitf_62	4067	2595	2.0355966645645	1.29883780293703	1.56724470134875	1.0704140738922e-74	3.3201615484937e-74	Mitf
Myf6_63	14257	8233	7.13584992542319	4.1207443666977	1.73168954208672	0	0	Myf6
Atoh7_64	2930	3474	1.466510505821	1.73879095468332	0.843408175014393	0.999999999996781	1	Atoh7
Mycn_65	3944	3982	1.97403325425188	1.99305284442976	0.990457056755399	0.670925695847843	0.864574803395763	Mycn
Hand1_66	9132	9740	4.57070782906394	4.87502127191007	0.937577002053388	0.999997213991156	1	Hand1
Atoh8_67	17927	10281	8.97274192418191	5.1458001741794	1.7437019745161	0	0	Atoh8
Hand2_68	9132	9740	4.57070782906394	4.87502127191007	0.937577002053388	0.999997213991156	1	Hand2
Neurod2_69	1635	2379	0.818342893179975	1.19072644824169	0.687263556116015	1	1	Neurod2
Mlxip_70	3041	3069	1.52206772976165	1.53608216462957	0.990876507005539	0.645748784524964	0.835786128140656	Mlxip
Tcfl5_71	3483	1226	1.7432955944623	0.613632041002232	2.84094616639478	4.64147468365252e-250	3.59917861434108e-249	Tcfl5
Olig2_72	2180	2620	1.0911238575733	1.31135069121195	0.83206106870229	0.999999999926386	1	Olig2
Hey1_73	3489	2948	1.74629868764828	1.47551978537894	1.18351424694708	5.63440962844248e-12	9.61547897981303e-12	Hey1
Id1_74	4333	2747	2.16873379580968	1.37491616364856	1.57735711685475	1.67068733942857e-81	5.39010075932428e-81	Id1
Neurog3_75	2260	3102	1.13116510005305	1.55259917715247	0.72856221792392	1	1	Neurog3
Mycs_76	3944	3982	1.97403325425188	1.99305284442976	0.990457056755399	0.670925695847843	0.864574803395763	Mycs
Bhlhe23_77	1945	2451	0.973502707789023	1.22676356647347	0.793553651570787	0.999999999999993	1	Bhlhe23
Olig3_78	2999	2481	1.50104607745978	1.24177903240338	1.20878677952439	9.7943714834724e-13	1.69105945144328e-12	Olig3
Tcf21_79	7910	6614	3.95907785018569	3.31040972201367	1.195947989114	3.20609749314848e-28	6.59113996265874e-28	Tcf21
Npas4_80	1341	1049	0.671191327066879	0.525040792015776	1.27836034318398	1.13313228955338e-09	1.86882265665147e-09	Npas4
Olig1_81	2021	2501	1.01154188814479	1.25178934302331	0.808076769292283	0.9999999999997	1	Olig1
Ferd3l_82	12629	12208	6.32101064096019	6.11029360241048	1.03448558322412	0.00296193906194581	0.0041826743302877	Ferd3l
Hes5_83	1617	1932	0.809333613622031	0.966996005886063	0.83695652173913	0.999999951287611	1	Hes5
Nhlh2_84	14166	14879	7.09030301210247	7.44717058570328	0.952080112910814	0.999993217769521	1	Nhlh2
Neurog1_85	2423	3191	1.21274913160555	1.59714505941119	0.759323096208085	1	1	Neurog1
Nhlh1_86	11451	11619	5.73140334544581	5.81548995465329	0.985540924348051	0.874152687208158	1	Nhlh1
Bhlha15_87	4979	4741	2.4920668288337	2.37294413245643	1.05020037966674	0.00747117900178865	0.0103519157328858	Bhlha15
Tcf4_88	11538	8864	5.77494819664254	4.43656966675676	1.30166967509025	9.09686466400667e-83	2.97838087517848e-82	Tcf4
Arntl_89	4280	2977	2.14220647266685	1.49003473577785	1.43768894860598	2.96678471294665e-54	7.51472116402534e-54	Arntl
Ebf1_90	11615	9509	5.8134878925293	4.75940218424978	1.22147439268062	1.81513354937014e-50	4.44481456410861e-50	Ebf1
Max_91	3361	3370	1.68223269968067	1.68673733945964	0.997329376854599	0.548917185892997	0.7167544938396	Max
Sim2_92	1638	1398	0.819844439772966	0.699720712333704	1.17167381974249	6.61498908944164e-06	9.94498359705172e-06	Sim2
Tcf15_93	10587	9522	5.29895792666446	4.76590888615274	1.11184625078765	6.74436316719173e-15	1.20688604044484e-14	Tcf15
Atoh1_94	2675	2956	1.33887904541678	1.47952390962692	0.904939106901218	0.999923295272211	1	Atoh1
Usf2_95	4506	3063	2.25532298267215	1.53307907144359	1.47110675808031	1.5953040042629e-63	4.40702731177625e-63	Usf2
Mga_96	11559	6755	5.78545902279348	3.38098241188424	1.71117690599556	1.41888004249596e-292	1.2669595530974e-291	Mga
Cebpd_97	1555	1275	0.778301650700221	0.638157302021082	1.21960784313725	6.92040761799359e-08	1.08854810218974e-07	Cebpd
Fosb_98	11012	9908	5.51167702733816	4.95910788111755	1.1114251110214	2.33531898952189e-15	4.27416560401108e-15	Fosb
Hlf_99	1191	1015	0.59611399741734	0.508023263961881	1.17339901477833	9.27169788910098e-05	0.000135698359833862	Hlf
Atf6b_100	3140	1618	1.57161876733035	0.809834129153028	1.9406674907293	3.34225991503227e-111	1.3131367843949e-110	Atf6b
Nfe2l2_101	13045	11248	6.52922510185491	5.62979869265343	1.15976173541963	6.27031910583522e-33	1.38228481036367e-32	Nfe2l2
Mafk_102	7609	6348	3.80842267535562	3.17727259076849	1.19864524259609	8.5825526274828e-28	1.75624456543861e-27	Mafk
Xbp1_103	2322	1353	1.16219706297486	0.677197513438842	1.71618625277162	7.15850338638318e-59	1.87777952331238e-58	Xbp1
Fos_104	12764	11863	6.38858023764477	5.93761574421654	1.0759504341229	1.6000877253818e-09	2.62426261454083e-09	Fos
