Gene stable ID,Gene name
ENSMUSG00000019338,Zfp687
ENSMUSG00000005774,Rfx5
ENSMUSG00000015522,Arnt
ENSMUSG00000027938,Creb3l4
ENSMUSG00000001419,Mef2d
ENSMUSG00000003382,Etv3
ENSMUSG00000028042,Zbtb7b
ENSMUSG00000028150,Rorc
ENSMUSG00000118505,ETV3L
ENSMUSG00000052534,Pbx1
ENSMUSG00000033964,Zbtb41
ENSMUSG00000026572,Tbx19
ENSMUSG00000015843,Rxrg
ENSMUSG00000026641,Usf1
ENSMUSG00000043467,Zbtb37
ENSMUSG00000026468,Lhx4
ENSMUSG00000026686,Lmx1a
ENSMUSG00000026586,Prrx1
ENSMUSG00000026565,Pou2f1
ENSMUSG00000066797,Zfp648
ENSMUSG00000005677,Nr1i3
ENSMUSG00000019230,Lhx9
ENSMUSG00000051251,Nhlh1
ENSMUSG00000026398,Nr5a2
ENSMUSG00000026663,Atf6
ENSMUSG00000026628,Atf3
ENSMUSG00000063659,Zbtb18
ENSMUSG00000010175,Prox1
ENSMUSG00000015619,Gata3
ENSMUSG00000037243,Zfp692
ENSMUSG00000026459,Myog
ENSMUSG00000098905,Zfp953
ENSMUSG00000098905,Zfp953
ENSMUSG00000039377,Hlx
ENSMUSG00000094410,Gm38394
ENSMUSG00000049755,Zfp672
ENSMUSG00000000078,Klf6
ENSMUSG00000026497,Mixl1
ENSMUSG00000055341,Zfp457
ENSMUSG00000055341,Zfp457
ENSMUSG00000055150,Zfp78
ENSMUSG00000055150,Zfp78
ENSMUSG00000057842,Zfp595
ENSMUSG00000057842,Zfp595
ENSMUSG00000041483,Zfp281
ENSMUSG00000070643,Sox13
ENSMUSG00000114923,Gm49345
ENSMUSG00000114923,Gm49345
ENSMUSG00000026630,Batf3
ENSMUSG00000003051,Elf3
ENSMUSG00000020472,Zkscan17
ENSMUSG00000026610,Esrrg
ENSMUSG00000097918,Ascl5
ENSMUSG00000026638,Irf6
ENSMUSG00000054074,Skida1
ENSMUSG00000048280,Zfp738
ENSMUSG00000048280,Zfp738
ENSMUSG00000026436,Elk4
ENSMUSG00000100235,Gm28557
ENSMUSG00000025215,Tlx1
ENSMUSG00000055320,Tead1
ENSMUSG00000025498,Irf7
ENSMUSG00000016458,Wt1
ENSMUSG00000024238,Zeb1
