tile_id	scores	norm_score
control	249.13504	1.0
Bend5_chr4_8201__Artibeus_jamaicensis	215.45752	0.8648222
Bend5_chr4_8201__Ammotragus_lervia	197.76373	0.79380137
Bend5_chr4_8201__Antilocapra_americana	215.35504	0.8644109
Bend5_chr4_8201__Anoura_caudifer	215.01268	0.8630367
Bend5_chr4_8201__Balaenoptera_bonaerensis	663.23096	2.6621344
Bend5_chr4_8201__Balaenoptera_acutorostrata	719.86664	2.8894637
Bend5_chr4_8201__Beatragus_hunteri	205.7705	0.8259396
Bend5_chr4_8201__Acomys_cahirinus	436.69498	1.7528445
Bend5_chr4_8201__Bos_indicus	201.88206	0.8103319
Bend5_chr4_8201__Bison_bison	201.86664	0.81026995
Bend5_chr4_8201__Camelus_ferus	211.68233	0.84966904
Bend5_chr4_8201__Bubalus_bubalis	200.35483	0.8042017
Bend5_chr4_8201__Camelus_dromedarius	211.81487	0.850201
Bend5_chr4_8201__Bos_mutus	201.4489	0.8085932
Bend5_chr4_8201__Bos_taurus	201.88206	0.8103319
Bend5_chr4_8201__Camelus_bactrianus	211.68233	0.84966904
Bend5_chr4_8201__Capra_aegagrus	202.74652	0.8138017
Bend5_chr4_8201__Capra_hircus	202.74652	0.8138017
Bend5_chr4_8201__Castor_canadensis	548.7869	2.202769
Bend5_chr4_8201__Choloepus_hoffmanni	209.46771	0.84077984
Bend5_chr4_8201__Ceratotherium_simum_cottoni	208.45654	0.83672106
Bend5_chr4_8201__Choloepus_didactylus	209.46771	0.84077984
Bend5_chr4_8201__Ceratotherium_simum	208.45654	0.83672106
Bend5_chr4_8201__Chrysochloris_asiatica	219.67079	0.88173383
Bend5_chr4_8201__Cricetomys_gambianus	1151.367	4.621457
Bend5_chr4_8201__Cricetulus_griseus	2926.2405	11.7456
Bend5_chr4_8201__Daubentonia_madagascariensis	218.18837	0.87578356
Bend5_chr4_8201__Ctenodactylus_gundi	206.02196	0.82694894
Bend5_chr4_8201__Desmodus_rotundus	199.02238	0.79885346
Bend5_chr4_8201__Delphinapterus_leucas	305.84558	1.2276298
Bend5_chr4_8201__Dicerorhinus_sumatrensis	202.12918	0.81132376
Bend5_chr4_8201__Dasypus_novemcinctus	214.07326	0.8592659
Bend5_chr4_8201__Diceros_bicornis	203.43396	0.816561
Bend5_chr4_8201__Dipodomys_ordii	240.21199	0.96418387
Bend5_chr4_8201__Dipodomys_stephensi	240.983	0.96727866
Bend5_chr4_8201__Echinops_telfairi	232.58208	0.9335583
Bend5_chr4_8201__Ellobius_lutescens	307.8075	1.2355046
Bend5_chr4_8201__Elephantulus_edwardii	229.5511	0.92139226
Bend5_chr4_8201__Eidolon_helvum	281.41522	1.129569
Bend5_chr4_8201__Elaphurus_davidianus	233.59239	0.93761355
Bend5_chr4_8201__Eptesicus_fuscus	227.6638	0.91381687
Bend5_chr4_8201__Equus_asinus	229.92365	0.9228876
Bend5_chr4_8201__Ellobius_talpinus	190.88275	0.7661819
Bend5_chr4_8201__Eulemur_fulvus	248.5932	0.99782515
Bend5_chr4_8201__Eulemur_flavifrons	270.49152	1.0857224
Bend5_chr4_8201__Equus_przewalskii	232.0634	0.93147635
Bend5_chr4_8201__Eubalaena_japonica	701.8611	2.8171914
Bend5_chr4_8201__Equus_caballus	232.0634	0.93147635
Bend5_chr4_8201__fullTreeAnc0	214.62135	0.86146593
Bend5_chr4_8201__fullTreeAnc1	211.73889	0.8498961
Bend5_chr4_8201__fullTreeAnc10	214.45114	0.86078274
Bend5_chr4_8201__fullTreeAnc112	278.34296	1.1172373
Bend5_chr4_8201__fullTreeAnc114	250.62233	1.0059698
Bend5_chr4_8201__fullTreeAnc11	217.62894	0.8735381
Bend5_chr4_8201__fullTreeAnc110	214.33334	0.8603099
Bend5_chr4_8201__fullTreeAnc113	187.11212	0.751047
Bend5_chr4_8201__fullTreeAnc115	234.32884	0.9405696
Bend5_chr4_8201__fullTreeAnc12	217.62894	0.8735381
Bend5_chr4_8201__fullTreeAnc124	244.37816	0.9809064
Bend5_chr4_8201__fullTreeAnc125	234.16122	0.93989676
Bend5_chr4_8201__fullTreeAnc126	227.61606	0.91362524
Bend5_chr4_8201__fullTreeAnc127	227.61606	0.91362524
Bend5_chr4_8201__fullTreeAnc128	293.6813	1.1788037
Bend5_chr4_8201__fullTreeAnc129	293.6813	1.1788037
Bend5_chr4_8201__fullTreeAnc130	222.26651	0.8921527
Bend5_chr4_8201__fullTreeAnc131	193.26251	0.77573395
Bend5_chr4_8201__fullTreeAnc13	205.13033	0.82337004
Bend5_chr4_8201__fullTreeAnc132	189.27812	0.75974107
Bend5_chr4_8201__fullTreeAnc134	199.66287	0.80142426
Bend5_chr4_8201__fullTreeAnc133	192.94708	0.7744679
Bend5_chr4_8201__fullTreeAnc135	200.99165	0.80675787
Bend5_chr4_8201__fullTreeAnc136	196.5316	0.78885573
Bend5_chr4_8201__fullTreeAnc137	208.47307	0.8367874
Bend5_chr4_8201__fullTreeAnc138	224.6306	0.90164196
Bend5_chr4_8201__fullTreeAnc139	228.8555	0.9186002
Bend5_chr4_8201__fullTreeAnc14	205.13033	0.82337004
Bend5_chr4_8201__fullTreeAnc142	225.18658	0.9038736
Bend5_chr4_8201__fullTreeAnc140	233.24857	0.93623346
Bend5_chr4_8201__fullTreeAnc141	230.23674	0.9241443
Bend5_chr4_8201__fullTreeAnc143	225.18658	0.9038736
Bend5_chr4_8201__fullTreeAnc144	226.71909	0.9100249
Bend5_chr4_8201__fullTreeAnc145	233.24857	0.93623346
Bend5_chr4_8201__fullTreeAnc147	241.83348	0.97069234
Bend5_chr4_8201__fullTreeAnc148	241.83348	0.97069234
Bend5_chr4_8201__fullTreeAnc149	223.52939	0.8972218
Bend5_chr4_8201__fullTreeAnc150	211.4506	0.8487389
Bend5_chr4_8201__fullTreeAnc152	211.81487	0.850201
Bend5_chr4_8201__fullTreeAnc15	261.37576	1.0491328
Bend5_chr4_8201__fullTreeAnc151	211.68233	0.84966904
Bend5_chr4_8201__fullTreeAnc153	211.81487	0.850201
Bend5_chr4_8201__fullTreeAnc155	663.23096	2.6621344
Bend5_chr4_8201__fullTreeAnc154	663.23096	2.6621344
Bend5_chr4_8201__fullTreeAnc156	688.9898	2.7655275
Bend5_chr4_8201__fullTreeAnc158	379.6274	1.5237817
Bend5_chr4_8201__fullTreeAnc157	284.53702	1.1420995
Bend5_chr4_8201__fullTreeAnc159	321.5751	1.2907662
Bend5_chr4_8201__fullTreeAnc16	205.26463	0.8239091
Bend5_chr4_8201__fullTreeAnc160	214.34691	0.8603644
Bend5_chr4_8201__fullTreeAnc161	318.93198	1.2801571
Bend5_chr4_8201__fullTreeAnc162	336.04022	1.3488276
Bend5_chr4_8201__fullTreeAnc163	244.63339	0.9819309
Bend5_chr4_8201__fullTreeAnc164	336.04022	1.3488276
Bend5_chr4_8201__fullTreeAnc166	379.6274	1.5237817
Bend5_chr4_8201__fullTreeAnc165	321.5751	1.2907662
Bend5_chr4_8201__fullTreeAnc167	260.72098	1.0465046
Bend5_chr4_8201__fullTreeAnc168	379.6274	1.5237817
Bend5_chr4_8201__fullTreeAnc170	201.88206	0.8103319
Bend5_chr4_8201__fullTreeAnc169	420.04895	1.6860292
Bend5_chr4_8201__fullTreeAnc171	201.86664	0.81026995
Bend5_chr4_8201__fullTreeAnc172	201.86664	0.81026995
Bend5_chr4_8201__fullTreeAnc173	201.13194	0.80732095
Bend5_chr4_8201__fullTreeAnc175	198.5114	0.7968024
Bend5_chr4_8201__fullTreeAnc174	202.74652	0.8138017
Bend5_chr4_8201__fullTreeAnc176	198.5114	0.7968024
Bend5_chr4_8201__fullTreeAnc177	198.5114	0.7968024
Bend5_chr4_8201__fullTreeAnc178	198.5114	0.7968024
Bend5_chr4_8201__fullTreeAnc179	209.5712	0.84119517
Bend5_chr4_8201__fullTreeAnc180	197.98218	0.79467815
Bend5_chr4_8201__fullTreeAnc181	208.51106	0.83693993
Bend5_chr4_8201__fullTreeAnc184	215.50307	0.8650051
Bend5_chr4_8201__fullTreeAnc182	201.13194	0.80732095
