tile_name	marked_duplicates
Bend5_chr4_8201__Bos_indicus_20240416.fa__CM003023.1:104461677-104461916()	['Bend5_chr4_8201__Bos_taurus_20240416.fa__CM000179.6:98488872-98489111()', 'Bend5_chr4_8201__fullTreeAnc170_20240416.fa__fullTreeAnc170refChr5253:394412-394651()_RC']
Bend5_chr4_8201__Camelus_bactrianus_20240416.fa__KN276212.1:2203138-2203368()_RC	['Bend5_chr4_8201__Camelus_ferus_20240416.fa__KB016655.1:466972-467202()', 'Bend5_chr4_8201__fullTreeAnc151_20240416.fa__fullTreeAnc151refChr3799:7187449-7187679()_RC']
Bend5_chr4_8201__Capra_aegagrus_20240416.fa__CM003216.1:88174193-88174429()	['Bend5_chr4_8201__Capra_hircus_20240416.fa__CM004564.1:23290836-23291072()_RC', 'Bend5_chr4_8201__fullTreeAnc174_20240416.fa__fullTreeAnc174refChr5861:1261915-1262151()_RC']
Bend5_chr4_8201__Ceratotherium_simum_20240416.fa__JH767796.1:1479715-1479946()_RC	['Bend5_chr4_8201__Ceratotherium_simum_cottoni_20240416.fa__CerCot_scaffold_44435:21905-22136()_RC', 'Bend5_chr4_8201__fullTreeAnc229_20240416.fa__fullTreeAnc229refChr10149:872729-872960()']
Bend5_chr4_8201__Choloepus_didactylus_20240416.fa__ChoDid_scaffold_393521:1272-1487()	['Bend5_chr4_8201__Choloepus_hoffmanni_20240416.fa__KN194989.1:1393481-1393696()', 'Bend5_chr4_8201__fullTreeAnc3_20240416.fa__fullTreeAnc3refChr21758:279923-280138()_RC']
Bend5_chr4_8201__Equus_caballus_20240416.fa__CM000378.2:10071908-10072132()	['Bend5_chr4_8201__Equus_przewalskii_20240416.fa__KK949951.1:323919-324143()', 'Bend5_chr4_8201__fullTreeAnc226_20240416.fa__fullTreeAnc226refChr759:141049-141273()_RC']
Bend5_chr4_8201__fullTreeAnc11_20240416.fa__fullTreeAnc11refChr103304:44350-44577()_RC	['Bend5_chr4_8201__fullTreeAnc12_20240416.fa__fullTreeAnc12refChr105767:47825-48052()_RC']
Bend5_chr4_8201__fullTreeAnc126_20240416.fa__fullTreeAnc126refChr1551:1467985-1468202()	['Bend5_chr4_8201__fullTreeAnc127_20240416.fa__fullTreeAnc127refChr6064:3566737-3566954()']
Bend5_chr4_8201__fullTreeAnc128_20240416.fa__fullTreeAnc128refChr744:344904-345121()	['Bend5_chr4_8201__fullTreeAnc129_20240416.fa__fullTreeAnc129refChr3074:209039-209256()_RC']
Bend5_chr4_8201__fullTreeAnc13_20240416.fa__fullTreeAnc13refChr29695:369435-369667()_RC	['Bend5_chr4_8201__fullTreeAnc14_20240416.fa__fullTreeAnc14refChr2154:278178-278410()_RC', 'Bend5_chr4_8201__fullTreeAnc239_20240416.fa__fullTreeAnc239refChr3721:333802-334034()_RC']
Bend5_chr4_8201__fullTreeAnc142_20240416.fa__fullTreeAnc142refChr12067:95589-95770()	['Bend5_chr4_8201__fullTreeAnc143_20240416.fa__fullTreeAnc143refChr18837:181684-181865()', 'Bend5_chr4_8201__Myotis_davidii_20240416.fa__KB106579.1:1927654-1927835()']
Bend5_chr4_8201__fullTreeAnc140_20240416.fa__fullTreeAnc140refChr24532:332252-332433()_RC	['Bend5_chr4_8201__fullTreeAnc145_20240416.fa__fullTreeAnc145refChr7471:262718-262899()_RC']
Bend5_chr4_8201__fullTreeAnc147_20240416.fa__fullTreeAnc147refChr4380:103167-103343()	['Bend5_chr4_8201__fullTreeAnc148_20240416.fa__fullTreeAnc148refChr20393:7030-7206()']
