Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene stable ID	Gene name	Gene type
MT	1	68	1	ENSMUSG00000064336	mt-Tf	Mt_tRNA
MT	70	1024	1	ENSMUSG00000064337	mt-Rnr1	Mt_rRNA
MT	1025	1093	1	ENSMUSG00000064338	mt-Tv	Mt_tRNA
MT	1094	2675	1	ENSMUSG00000064339	mt-Rnr2	Mt_rRNA
MT	2676	2750	1	ENSMUSG00000064340	mt-Tl1	Mt_tRNA
MT	2751	3707	1	ENSMUSG00000064341	mt-Nd1	protein_coding
MT	3706	3774	1	ENSMUSG00000064342	mt-Ti	Mt_tRNA
MT	3772	3842	-1	ENSMUSG00000064343	mt-Tq	Mt_tRNA
MT	3845	3913	1	ENSMUSG00000064344	mt-Tm	Mt_tRNA
MT	3914	4951	1	ENSMUSG00000064345	mt-Nd2	protein_coding
MT	4950	5016	1	ENSMUSG00000064346	mt-Tw	Mt_tRNA
MT	5018	5086	-1	ENSMUSG00000064347	mt-Ta	Mt_tRNA
MT	5089	5159	-1	ENSMUSG00000064348	mt-Tn	Mt_tRNA
MT	5192	5257	-1	ENSMUSG00000064349	mt-Tc	Mt_tRNA
MT	5260	5326	-1	ENSMUSG00000064350	mt-Ty	Mt_tRNA
MT	5328	6872	1	ENSMUSG00000064351	mt-Co1	protein_coding
MT	6870	6938	-1	ENSMUSG00000064352	mt-Ts1	Mt_tRNA
MT	6942	7011	1	ENSMUSG00000064353	mt-Td	Mt_tRNA
MT	7013	7696	1	ENSMUSG00000064354	mt-Co2	protein_coding
MT	7700	7764	1	ENSMUSG00000064355	mt-Tk	Mt_tRNA
MT	7766	7969	1	ENSMUSG00000064356	mt-Atp8	protein_coding
MT	7927	8607	1	ENSMUSG00000064357	mt-Atp6	protein_coding
MT	8607	9390	1	ENSMUSG00000064358	mt-Co3	protein_coding
MT	9391	9458	1	ENSMUSG00000064359	mt-Tg	Mt_tRNA
MT	9459	9806	1	ENSMUSG00000064360	mt-Nd3	protein_coding
MT	9808	9875	1	ENSMUSG00000064361	mt-Tr	Mt_tRNA
MT	9877	10173	1	ENSMUSG00000065947	mt-Nd4l	protein_coding
MT	10167	11544	1	ENSMUSG00000064363	mt-Nd4	protein_coding
MT	11546	11612	1	ENSMUSG00000064364	mt-Th	Mt_tRNA
MT	11613	11671	1	ENSMUSG00000064365	mt-Ts2	Mt_tRNA
MT	11671	11741	1	ENSMUSG00000064366	mt-Tl2	Mt_tRNA
MT	11742	13565	1	ENSMUSG00000064367	mt-Nd5	protein_coding
MT	13552	14070	-1	ENSMUSG00000064368	mt-Nd6	protein_coding
MT	14071	14139	-1	ENSMUSG00000064369	mt-Te	Mt_tRNA
MT	14145	15288	1	ENSMUSG00000064370	mt-Cytb	protein_coding
MT	15289	15355	1	ENSMUSG00000064371	mt-Tt	Mt_tRNA
MT	15356	15422	-1	ENSMUSG00000064372	mt-Tp	Mt_tRNA
GL456385.1	31243	31343	1	ENSMUSG00002074970		miRNA
GL456239.1	38438	38535	1	ENSMUSG00002075400		miRNA
GL456381.1	16623	16721	-1	ENSMUSG00002076890		miRNA
JH584303.1	81607	82689	1	ENSMUSG00000095019		protein_coding
GL456212.1	31967	34932	-1	ENSMUSG00000094915		protein_coding
JH584304.1	52190	59690	-1	ENSMUSG00000095041		protein_coding
JH584296.1	41338	44417	-1	ENSMUSG00000095666		protein_coding
GL456354.1	6366	8939	1	ENSMUSG00000094741	Pramel39	protein_coding
JH584295.1	66	1479	-1	ENSMUSG00000095742		protein_coding
JH584297.1	19740	22248	-1	ENSMUSG00000094303		protein_coding
GL456221.1	17591	30203	-1	ENSMUSG00000079222		protein_coding
GL456211.1	30483	32396	-1	ENSMUSG00000095250		protein_coding
JH584299.1	4975	7356	1	ENSMUSG00000094836		protein_coding
GL456385.1	32719	32818	1	ENSMUSG00002075729		miRNA
GL456212.1	128555	150452	-1	ENSMUSG00000079808		protein_coding
GL456354.1	25923	27230	-1	ENSMUSG00000074720		protein_coding
GL456211.1	54469	54840	-1	ENSMUSG00000095787		protein_coding
JH584297.1	31101	33667	1	ENSMUSG00000096236		protein_coding
GL456211.1	66955	67326	1	ENSMUSG00000096100		protein_coding
JH584296.1	130715	133448	-1	ENSMUSG00000096680		protein_coding
GL456221.1	30394	32306	-1	ENSMUSG00000094874		protein_coding
GL456354.1	82993	86051	-1	ENSMUSG00000094337		protein_coding
JH584299.1	90482	93220	1	ENSMUSG00000094383		protein_coding
JH584297.1	108318	111392	-1	ENSMUSG00000096756		protein_coding
GL456211.1	113868	114758	1	ENSMUSG00000094054		processed_pseudogene
GL456211.1	160465	162404	-1	ENSMUSG00000095672		protein_coding
GL456221.1	32239	47294	1	ENSMUSG00000095500		protein_coding
JH584296.1	195181	197903	-1	ENSMUSG00000095505	AA792892	protein_coding
GL456211.1	167446	196478	1	ENSMUSG00000079190		protein_coding
GL456221.1	46295	46666	-1	ENSMUSG00000095450		protein_coding
JH584299.1	173050	176134	1	ENSMUSG00000094474		protein_coding
GL456354.1	146926	149659	-1	ENSMUSG00000095570		protein_coding
GL456221.1	58743	59114	1	ENSMUSG00000094728		protein_coding
GL456211.1	226405	229375	-1	ENSMUSG00000094514		protein_coding
GL456221.1	111572	163011	-1	ENSMUSG00000062783	Csprs	protein_coding
JH584299.1	314841	317584	1	ENSMUSG00000094791		protein_coding
GL456354.1	158543	161339	1	ENSMUSG00000096728		protein_coding
